"Title","Network","Season","Meta Score","# of critics","User score","Genre","Genre 2","Permise Date","# of rating"
"So You Think You Can Dance","FOX",": Season 1",,75,,"Reality","Game Show","July 20, 2005",21
"Random 1","A&E",": Season 1",50,75,8.8,"Drama","Reality","November 1, 2005",64
"The Grammy Awards","ABC,CBS",": Season 48",55,70,,"Arts","Events & Specials",,16
"The Grammy Awards","ABC,CBS",": Season 49",41,,,"Arts","Events & Specials",,22
"Sons Of Hollywood","A&E",": Season 1",,,,"Reality","Game Show","April 1, 2007",46
"The Singing Bee","CMT,CMT - Country Music Television",": Season 1",57,70,,"Game Show","Arts",,7
"High School Musical 2","Disney,Disney Channel",": Season 1",,80,6.3,"Comedy","Kids",,159
"The Cleaner","A&E",": Season 1",41,63,6.3,"Drama","Arts","July 15, 2008",39
"Glee","FOX",": Season 2",,88,7.5,"Comedy","Drama","September 21, 2010",262
"Glee","FOX",": Season 1",,88,7.7,"Comedy","Drama","May 19, 2009",474
"Beyond Scared Straight","A&E",": Season 1",,91,7.3,"Drama","Reality","January 13, 2011",12
"Face Off","Syfy",": Season 1",,75,8.1,"Drama","Reality","January 26, 2011",17
"Talking Funny","HBO",": Season 1",,80,8,"Comedy","Talk & Interview","April 22, 2011",18
"Platinum Hit","Bravo",": Season 1",53,75,,"Reality","Game Show","May 30, 2011",14
"Dance Moms","LIFETIME",": Season 1",54,75,,"Drama","Reality","July 13, 2011",25
"Glee","FOX",": Season 4",,75,8,"Comedy","Drama","September 13, 2012",153
"Heroes of Cosplay","Syfy",": Season 1",,83,,"Reality","Fantasy","August 13, 2013",16
"Five Came Back","Netflix",": Season 1",,91,7.2,"Movie/Mini-Series","News/Documentary","March 31, 2017",32
"Making It","ABC,NBC",": Season 1",,91,6.1,"Comedy","Reality",,23
"Million Dollar Listing","Bravo",": Season 1",50,75,,"Drama","Reality","August 29, 2006",26
"Shark Tank","ABC",": Season 1",58,83,8.7,"Reality","Game Show","August 9, 2009",113
"Undercover Boss","CBS",": Season 1",59,88,6.4,"Reality","Business","February 7, 2010",37
"Outsourced","NBC",": Season 1",45,80,7.3,"Comedy","Health & Lifestyle","September 23, 2010",120
"The Fairy Jobmother","LIFETIME",": Season 1",55,,,"Reality","Health & Lifestyle","October 28, 2010",8
"Storage Wars","A&E",": Season 1",57,80,6.2,"Reality","Game Show","December 1, 2010",26
"Piers Morgan Tonight","CNN",": Season 1",60,75,,"Talk & Interview","Business","January 17, 2011",7
"The Girlfriend Experience","Starz",": Season 1",,91,7.7,"Comedy","Drama","April 10, 2016",104
"The Girlfriend Experience","Starz",": Season 2",,91,7.1,"Comedy","Drama","November 5, 2017",21
"Ballers","HBO,BET",": Season 2",,75,7.7,"Comedy","Drama",,39
"Succession","HBO",": Season 1",,90,7.7,"Comedy","Drama","June 3, 2018",98
"Dirty Money (2018)","Netflix",": Season 1",,80,6.9,"News/Documentary","Business","January 26, 2018",50
"The Inventor: Out for Blood in Silicon Valley","HBO",": Season 1",,90,7.2,"Movie/Mini-Series","News/Documentary","March 18, 2019",27
"Succession","HBO",": Season 2",,90,8.6,"Comedy","Drama","August 11, 2019",70
"Hell's Kitchen","FOX",": Season 1",46,,7.6,"Reality","Game Show","May 30, 2005",23
"The Maya Rudolph Show","NBC",": Season 1",53,75,,"Comedy","Variety Shows","May 19, 2014",18
"Camp Rock","Disney,Disney Channel",": Season 1",,88,,"Comedy","Kids",,100
"Mr. Belvedere","ABC",": Season 1",,,,"Comedy","Kids","March 15, 1985",8
"Full House","ABC",": Season 1",,,7.8,"Comedy","Drama","September 22, 1987",55
"Dinotopia","ABC",": Season 1",,70,,"Drama","Action & Adventure","November 28, 2002",25
"Felicity: An American Girl Adventure","WB,The WB",": Season 1",,80,8,"Drama","Kids",,21
"Class of 3000","Cartoon Network",": Season 1",,80,6.4,"Comedy","Animation","November 3, 2006",34
"The Sarah Jane Adventures","BBC-1,BBC,CBBC",": Season 1",,75,8.1,"Drama","Action & Adventure",,26
"Star Wars: The Clone Wars","Cartoon Network",": Season 1",,80,8.4,"Animation","Action & Adventure","October 3, 2008",215
"The Electric Company","PBS",": Season 1",,83,7.8,"Comedy","Kids","January 19, 2009",14
"The Pee-wee Herman Show on Broadway","HBO",": Season 1",54,88,7.4,"Comedy","Kids","March 19, 2011",20
"Teen Beach Movie","Disney Channel",": Season 1",54,75,6.4,"Drama","Movie/Mini-Series","July 19, 2013",36
"The Nine Lives of Chloe King","ABC Family",": Season 1",,75,7.8,"Science Fiction","Kids","June 14, 2011",41
"The Thundermans","Nickelodeon",": Season 1",43,,,"Comedy","Action & Adventure","October 14, 2013",27
"Toy Story of Terror","ABC",": Season 1",,90,8.1,"Animation","Movie/Mini-Series","October 16, 2013",69
"Girl Meets World","Disney Channel",": Season 1",,83,7.5,"Comedy","Kids","June 27, 2014",71
"Star Wars Rebels","Disney XD,Disneyxd",": Season 1",,80,6.6,"Animation","Drama",,195
"Gortimer Gibbon's Life on Normal Street","Amazon Instant Video",": Season 1",,80,8.3,"Comedy","Drama","November 21, 2014",11
"Toy Story That Time Forgot","ABC",": Season 1",,90,7.8,"Comedy","Animation","December 2, 2014",36
"How Murray Saved Christmas","NBC",": Season 1",60,80,,"Comedy","Animation","December 5, 2014",7
"Descendants","Disney Channel",": Season 1",,80,7.4,"Comedy","Movie/Mini-Series","July 31, 2015",40
"Elf: Buddy's Musical Christmas","NBC",": Season 1",,88,6.3,"Animation","Kids","December 16, 2014",16
"Trollhunters","Netflix",": Season 1",,80,8.4,"Comedy","Animation","December 23, 2016",73
"Lemony Snicket's A Series of Unfortunate Events (2017)","Netflix",": Season 1",,91,8,"Comedy","Drama","January 13, 2017",305
"Green Eggs And Ham","Netflix",": Season 1",,88,,"Animation","Kids","November 8, 2019",9
"Anne with an E","Netflix",": Season 1",,91,7.9,"Drama","Kids","May 12, 2017",90
"Forky Asks a Question","Disney+",": Season 1",,80,,"Comedy","Animation","November 12, 2019",23
"Top Chef","Bravo",": Season 1",,80,6.6,"Reality","Game Show","March 8, 2006",61
"Kitchen Confidential","FOX",": Season 1",,90,8,"Comedy","Food & Cooking","September 19, 2005",41
"Kitchen Nightmares","FOX",": Season 1",,90,8.9,"Reality","Game Show","September 19, 2007",96
"Top Chef","Bravo",": Season 5",,80,7.5,"Reality","Game Show","November 12, 2008",16
"Top Chef","Bravo",": Season 6",,80,6.3,"Reality","Game Show","August 19, 2009",26
"Treme","HBO",": Season 1",,90,7.8,"Drama","Music","April 11, 2010",158
"The Chopping Block","NBC",": Season 1",42,70,,"Drama","Reality","March 11, 2009",19
"Top Chef","Bravo",": Season 7",,80,7.1,"Reality","Game Show","June 16, 2010",13
"America's Next Great Restaurant","NBC,CNBC",": Season 1",58,80,,"Reality","Game Show",,18
"Treme","HBO",": Season 2",,90,7.4,"Drama","Music","April 24, 2011",70
"The Chew","ABC",": Season 1",56,70,,"Health & Lifestyle","Talk & Interview","September 26, 2011",11
"Hotel Hell","FOX",": Season 1",,83,7.3,"Reality","Food & Cooking","August 13, 2012",23
"Treme","HBO",": Season 3",,91,7.4,"Drama","Music","September 23, 2012",32
"Treme","HBO",": Season 4",,91,7.6,"Drama","Music","December 1, 2013",37
"The Taste","ABC",": Season 1",53,75,,"Reality","Food & Cooking","January 22, 2013",16
"Wahlburgers","A&E",": Season 1",48,67,,"Reality","Food & Cooking","January 22, 2014",19
"Ugly Delicious","Netflix",": Season 1",,91,6.1,"News/Documentary","Documentary","February 23, 2018",24
"School Pride","NBC",": Season 1",45,75,,"Reality","Health & Lifestyle","October 15, 2010",11
"The Sound of Music Live!","NBC",": Season 1",52,75,6.1,"Events & Specials","Music","December 5, 2013",39
"Best Time Ever with Neil Patrick Harris","NBC",": Season 1",43,70,,"Comedy","Variety Shows","September 15, 2015",47
"A Very Murray Christmas","Netflix",": Season 1",,88,,"Comedy","Variety Shows","December 4, 2015",77
"Maya & Marty","NBC",": Season 1",48,70,,"Comedy","Variety Shows","May 31, 2016",28
"A Christmas Story Live!","FOX",": Season 1",,80,,"Movie/Mini-Series","Events & Specials","December 17, 2017",23
"The Golden Globe Awards","NBC",": Season 75",,91,,"Events & Specials",,"January 7, 2018",56
"Ellen DeGeneres: Relatable","Netflix",": Season 1",,80,,"Comedy","Events & Specials","December 18, 2018",42
"Springsteen on Broadway","Netflix",": Season 1",,98,7.1,"Events & Specials","Music","December 16, 2018",28
"Live in Front of a Studio Audience: Norman Lear's ""All in the Family"" and ""The Jeffersons""","ABC",": Season 1",,80,,"Comedy","Events & Specials","May 22, 2019",15
"Gary Gulman: The Great Depresh","HBO",": Season 1",,90,,"Comedy","Events & Specials","October 5, 2019",6
"John Mulaney & The Sack Lunch Bunch","Netflix",": Season 1",,91,7.7,"Comedy","Variety Shows","December 24, 2019",14
"The Little Mermaid Live!","ABC",": Season 1",51,70,,"Fantasy","Events & Specials","November 5, 2019",21
"American Inventor","ABC",": Season 1",,75,,"Health & Lifestyle","Game Show","March 16, 2006",35
"Dallas (2012)","TNT",": Season 1",,88,7.2,"Drama","Soap","June 13, 2012",107
"Real Time With Bill Maher","HBO",": Season 1",43,70,6.9,"Comedy","Talk & Interview","February 21, 2003",24
"The Colbert Report","Comedy Central",": Season 1",,90,8.7,"Comedy","Talk & Interview","October 17, 2005",197
"The Showbiz Show with David Spade","Comedy Central",": Season 1",41,75,,"Comedy","Talk & Interview","September 15, 2005",14
"The Path to 9/11","ABC",": Season 1",52,80,,"News","Documentary","September 10, 2006",102
"Dog Bites Man","Comedy Central",": Season 1",54,75,8.2,"Comedy","News","June 7, 2006",51
"This American Life","SHOWTIME",": Season 1",,90,7.9,"News","Documentary","March 22, 2007",40
"The 1/2 Hour News Hour","FOX News,FOX News Channel",": Season 1",,,,"Comedy","News/Documentary",,390
"Lock N' Load","SHOWTIME",": Season 1",46,75,8.4,"Reality","News","October 21, 2009",28
"George W. Bush: The 9/11 Interview","National Geographic Channel,National Geographic",": Season 1",,83,,"Talk & Interview","News",,14
"The Rosie Show ","OWN",": Season 1",,80,6.4,"Talk & Interview","News","October 10, 2011",17
"Chicagoland","CNN",": Season 1",,80,,"News/Documentary","News","March 6, 2014",9
"Last Week Tonight with John Oliver","HBO",": Season 1",,91,8.3,"Comedy","Talk & Interview","April 27, 2014",190
"The Nightly Show with Larry Wilmore","Comedy Central",": Season 1",,91,,"Comedy","Talk & Interview","January 19, 2015",217
"The Seventies","CNN",": Season 1",59,67,,"News/Documentary","News","June 11, 2015",10
"The Daily Show with Trevor Noah","Comedy Central",": Season 1",,80,,"Comedy","Talk & Interview","September 28, 2015",127
"Sunday Night With Megyn Kelly","NBC",": Season 1",41,,,"Talk & Interview","News","June 4, 2017",19
"King of the Nerds","TBS",": Season 1",54,70,,"Reality","Game Show","January 17, 2013",32
"StarTalk","National Geographic",": Season 1",55,80,8.2,"Talk & Interview","Science","April 27, 2015",17
"Mr. Robot","USA,USAHD-E",": Season 1",,90,8.7,"Drama","Suspense",,1059
"Killing Fields","Discovery Channel",": Season 1",59,80,6.6,"Drama","Reality","January 5, 2016",34
"Humans","Channel 4,AMC,AMC/Channel 4",": Season 1",,90,8.2,"Drama","Science Fiction",,186
"Mr. Robot","USA,USAHD-E",": Season 2",,91,8.1,"Drama","Suspense",,419
"APB","FOX",": Season 1",45,75,6.3,"Drama","Action & Adventure","February 6, 2017",72
"Humans","Channel 4,AMC,AMC/Channel 4",": Season 2",,90,6.9,"Drama","Science Fiction",,65
"Mr. Robot","USA,USAHD-E",": Season 3",,91,8,"Drama","Suspense",,222
"YOU","LIFETIME,Netflix",": Season 1",,91,7.2,"Drama","Suspense",,82
"Mr. Robot","USA,USAHD-E",": Season 4",,90,8.7,"Drama","Suspense",,55
"YOU","LIFETIME,Netflix",": Season 2",,91,8.2,"Drama","Suspense",,20
"Dallas (2012)","TNT",": Season 3",56,83,7.9,"Drama","Soap","February 24, 2014",25
"Dallas (2012)","TNT",": Season 2",,91,6.9,"Drama","Soap","January 28, 2013",49
"Happyland","MTV - Music Television",": Season 1",56,83,8,"Comedy","Drama","September 30, 2014",15
"Dynasty (2017)","The CW,CW",": Season 1",52,75,8.2,"Drama","Soap",,133
"The Little Drummer Girl","AMC",": Season 1",,91,7.2,"Drama","Soap","November 19, 2018",69
"The Amazing Race","CBS",": Season 1",,90,7.8,"Reality","Game Show","September 5, 2001",47
"The Kids in the Hall","HBO,60 Frames",": Season 1",,90,,"Comedy","Variety Shows",,8
"Chappelle's Show","Comedy Central",": Season 1",,90,8.8,"Comedy","Variety Shows","January 22, 2003",23
"Random Acts Of Flyness","HBO",": Season 1",,90,,"Comedy","Variety Shows","August 3, 2018",30
"Toy Hunter","Travel Channel",": Season 1",48,,6.8,"Reality","Documentary","August 15, 2012",21
"Expedition Impossible","ABC",": Season 1",56,70,6.3,"Sports","Sports","June 23, 2011",12
"The Men Who Built America","The History Channel,History Channel",": Season 1",60,80,7.6,"Reality","News/Documentary",,14
"Below Deck","Bravo",": Season 1",44,,,"Drama","Reality","July 1, 2013",14
"Dark Tourist","Netflix",": Season 1",,80,,"Reality","Travel","July 20, 2018",30
"Love Island (2019)","CBS",": Season 1",56,70,,"Reality","Game Show","July 9, 2019",8
"The World According to Jeff Goldblum","Disney+",": Season 1",,91,6.2,"Reality","Documentary","November 12, 2019",28
"13 Reasons Why","Netflix",": Season 3",,,,"Drama",,"August 23, 2019",103
"On Becoming a God in Central Florida","SHOWTIME",": Season 1",,91,7.9,"Comedy","Drama","August 25, 2019",41
"Too Old to Die Young","Prime Video",": Season 1",55,85,7.2,"Drama","Suspense","June 14, 2019",51
"Euphoria","HBO",": Season 1",,83,6.3,"Drama",,"June 16, 2019",99
"Das Boot (2019)","HULU",": Season 1",,90,6.3,"Drama","Movie/Mini-Series","June 17, 2019",23
"Grand Hotel (2019)","ABC",": Season 1",60,75,6.4,"Drama",,"June 17, 2019",22
"Years and Years","HBO",": Season 1",,80,7.5,"Drama","Movie/Mini-Series","June 24, 2019",60
"Dark","Netflix",": Season 2",,87,8.6,"Drama","Suspense","June 21, 2019",73
"Legion","FX",": Season 3",,90,7,"Drama","Action & Adventure","June 24, 2019",49
"The Rook","Starz",": Season 1",,81,,"Drama","Action & Adventure","June 30, 2019",26
"Stranger Things","Netflix",": Season 3",,91,7.2,"Drama","Horror","July 4, 2019",393
"The Loudest Voice","SHOWTIME",": Season 1",,83,6.2,"Drama","Movie/Mini-Series","June 30, 2019",49
"Pearson","USA",": Season 1",54,75,,"Drama",,"July 17, 2019",12
"Veronica Mars","The CW,UPN,HULU",": Season 4",,91,,"Drama",,,78
"Another Life","Netflix",": Season 1",,,,"Drama","Action & Adventure","July 25, 2019",94
"Orange is the New Black","Netflix",": Season 7",,90,7.7,"Comedy","Drama","July 26, 2019",69
"Pennyworth","Epix",": Season 1",60,83,6.7,"Drama","Action & Adventure","July 28, 2019",41
"The Boys","Prime Video",": Season 1",,90,8.5,"Drama","Action & Adventure","July 26, 2019",241
"Four Weddings and a Funeral","HULU",": Season 1",49,83,6.3,"Comedy","Drama","July 31, 2019",25
"Dear White People (2017)","Netflix",": Season 3",,88,,"Comedy","Drama","August 2, 2019",37
"Our Boys","HBO",": Season 1",,90,7.3,"Drama","Movie/Mini-Series","August 12, 2019",31
"BH90210","FOX",": Season 1",,80,6.9,"Comedy","Drama","August 7, 2019",35
"The Terror","AMC",": Season 2",,93,,"Drama",,"August 12, 2019",50
"Mindhunter","Netflix",": Season 2",,91,8.3,"Drama",,"August 16, 2019",152
"Why Women Kill","CBS All Access",": Season 1",,85,6.2,"Comedy","Drama","August 15, 2019",32
"The Affair","SHOWTIME",": Season 5",,80,6.8,"Drama",,"August 25, 2019",20
"Carnival Row","Prime Video",": Season 1",57,80,7.2,"Drama","Fantasy","August 30, 2019",78
"The Dark Crystal: Age of Resistance","Netflix",": Season 1",,83,8.5,"Drama","Action & Adventure","August 30, 2019",128
"Wu-Tang: An American Saga","HULU",": Season 1",58,80,6.5,"Drama","Music","September 4, 2019",17
"The Spy","Netflix",": Season 1",,80,6.1,"Drama","Movie/Mini-Series","September 6, 2019",45
"The Deuce","HBO",": Season 3",,93,7.4,"Drama",,"September 9, 2019",21
"The I-Land","Netflix",": Season 1",,,,"Drama","Action & Adventure","September 12, 2019",36
"Undone","Prime Video,AMAZON",": Season 1",,90,8.1,"Comedy","Animation",,108
"Unbelievable","Netflix",": Season 1",,95,7.4,"Drama","Movie/Mini-Series","September 13, 2019",82
"Criminal","Netflix",": Season 1",,83,,"Drama","Suspense","September 20, 2019",15
"All Rise","CBS",": Season 1",,80,,"Drama",,"September 23, 2019",26
"Prodigal Son","FOX",": Season 1",59,85,7.5,"Drama",,"September 23, 2019",32
"Bluff City Law","NBC",": Season 1",46,,,"Drama",,"September 23, 2019",18
"Emergence","ABC",": Season 1",,83,6.2,"Drama","Suspense","September 24, 2019",43
"Stumptown","ABC",": Season 1",,89,6.4,"Drama","Suspense","September 25, 2019",40
"Evil","CBS",": Season 1",,90,6.9,"Drama",,"September 26, 2019",48
"Creepshow","Shudder",": Season 1",,86,6.4,"Drama","Horror","September 26, 2019",14
"Transparent","Amazon Instant Video,AMAZON",": Season 5",55,70,,"Comedy","Drama",,23
"The Politician","Netflix",": Season 1",,83,6.3,"Comedy","Drama","September 27, 2019",66
"Godfather of Harlem","Epix",": Season 1",,80,6.5,"Drama",,"September 29, 2019",21
"Raising Dion","Netflix",": Season 1",,80,,"Drama","Science Fiction","October 4, 2019",22
"Batwoman","The CW",": Season 1",60,83,,"Drama","Action & Adventure","October 6, 2019",180
"Nancy Drew (2019)","The CW",": Season 1",55,91,,"Drama","Suspense","October 9, 2019",31
"Treadstone","USA",": Season 1",47,65,6.6,"Drama","Action & Adventure","October 15, 2019",22
"Limetown","Facebook Watch",": Season 1",,80,,"Drama","Suspense","October 16, 2019",16
"Modern Love","Prime Video",": Season 1",,90,6.4,"Comedy","Drama","October 18, 2019",53
"Looking for Alaska","HULU",": Season 1",,91,6.7,"Drama",,"October 18, 2019",31
"Watchmen (2019)","HBO",": Season 1",,90,6.1,"Drama","Action & Adventure","October 20, 2019",450
"Catherine The Great","HBO",": Season 1",60,80,,"Drama","Movie/Mini-Series","October 21, 2019",26
"BoJack Horseman","Netflix",": Season 6",,91,8.7,"Comedy","Animation","October 25, 2019",118
"Castle Rock (2018)","HULU",": Season 2",,91,7.4,"Drama","Horror","October 23, 2019",24
"Mrs. Fletcher","HBO",": Season 1",,91,6.2,"Comedy","Drama","October 27, 2019",33
"Tom Clancy's Jack Ryan","Prime Video,AMAZON",": Season 2",56,70,,"Drama","Action & Adventure",,42
"The Morning Show","Apple TV+",": Season 1",,80,6.9,"Drama",,"November 1, 2019",102
"Dickinson","Apple TV+",": Season 1",,91,,"Comedy","Drama","November 1, 2019",67
"For All Mankind","Apple TV+",": Season 1",,95,,"Drama","Science Fiction","November 1, 2019",65
"See","Apple TV+",": Season 1",,67,6.4,"Drama",,"November 1, 2019",92
"His Dark Materials","HBO",": Season 1",,83,7.4,"Drama","Action & Adventure","November 4, 2019",94
"High School Musical: The Musical: The Series","ABC,Disney Channel,Freeform,Disney+",": Season 1",,93,,"Drama","Music",,44
"The End of the F***ing World","Netflix,CH4",": Season 2",,80,7.2,"Comedy","Drama",,52
"Dublin Murders","Starz",": Season 1",49,80,6.3,"Drama","Suspense","November 10, 2019",14
"The Crown","Netflix",": Season 3",,80,7.9,"Drama",,"November 17, 2019",79
"Mad About You (2019)","Spectrum",": Season 1",54,70,,"Comedy","Drama","November 20, 2019",15
"Servant","Apple TV+",": Season 1",,88,6.5,"Drama","Suspense","November 28, 2019",50
"The Marvelous Mrs. Maisel","Amazon Prime,Prime Video,AMAZON",": Season 3",,90,6.8,"Comedy","Drama",,45
"The L Word: Generation Q","SHOWTIME",": Season 1",58,80,,"Drama",,"December 8, 2019",25
"Reprisal","HULU",": Season 1",53,80,,"Drama","Suspense","December 6, 2019",19
"The Expanse","Syfy,Prime Video",": Season 4",,91,9.1,"Drama","Action & Adventure",,106
"A Christmas Carol (2019)","FX",": Season 1",,,,"Drama","Movie/Mini-Series","December 19, 2019",23
"The Code (2019)","CBS",": Season 1",56,70,,"Drama",,"April 9, 2019",18
"The ABC Murders","Prime Video",": Season 1",58,83,,"Drama","Movie/Mini-Series","February 1, 2019",27
"I Am The Night","TNT",": Season 1",59,80,,"Drama","Movie/Mini-Series","January 28, 2019",57
"Narcos: Mexico","Netflix",": Season 1",,80,8.1,"Drama","Action & Adventure","November 16, 2018",137
"My Brilliant Friend","HBO",": Season 1",,91,8.5,"Drama",,"November 18, 2018",92
"Escape At Dannemora","SHOWTIME",": Season 1",,90,7.8,"Drama","Movie/Mini-Series","November 18, 2018",90
"Nightflyers","Syfy",": Season 1",47,,,"Drama","Action & Adventure","December 2, 2018",92
"Dirty John","Bravo",": Season 1",58,91,6.1,"Drama","Suspense","November 25, 2018",36
"The Marvelous Mrs. Maisel","Amazon Prime,Prime Video,AMAZON",": Season 2",,91,7.8,"Comedy","Drama",,126
"Icebox","HBO",": Season 1",,90,,"Drama","Movie/Mini-Series","December 7, 2018",10
"Watership Down (2018)","Netflix",": Season 1",,83,,"Animation","Drama","December 23, 2018",31
"Black Mirror: Bandersnatch","Netflix",": Season 1",,91,6.9,"Drama","Science Fiction","December 28, 2018",292
"Good Trouble","Freeform",": Season 1",,90,7.5,"Drama",,"January 8, 2019",16
"You're the Worst","FX,FXX",": Season 5",,91,7.6,"Comedy","Drama",,37
"Project Blue Book","A&E",": Season 1",56,70,7.2,"Drama","Suspense","January 8, 2019",46
"Sex Education","Netflix",": Season 1",,92,8.1,"Comedy","Drama","January 11, 2019",244
"True Detective","HBO",": Season 3",,80,6.8,"Drama","Action & Adventure","January 13, 2019",258
"Valley of the Boom","National Geographic",": Season 1",58,80,,"Drama","Movie/Mini-Series","January 13, 2019",12
"Roswell, New Mexico","The CW",": Season 1",58,80,6.5,"Drama","Science Fiction","January 15, 2019",43
"The Passage","FOX",": Season 1",60,91,7,"Drama","Action & Adventure","January 14, 2019",64
"Star Trek: Discovery","CBS,CBS All Access",": Season 2",,85,,"Drama","Action & Adventure",,218
"A Discovery of Witches","Sundance Now,Shudder",": Season 1",,89,7.2,"Drama","Fantasy",,35
"Deadly Class","Syfy",": Season 1",58,85,7.6,"Drama","Action & Adventure","January 16, 2019",68
"Marvel's The Punisher","Netflix",": Season 2",58,83,7.3,"Drama","Action & Adventure","January 18, 2019",201
"The Magicians (2016)","Syfy",": Season 4",,83,6.4,"Drama","Fantasy","January 23, 2019",27
"Brexit","HBO",": Season 1",,83,6.8,"Drama","Movie/Mini-Series","January 19, 2019",32
"American Soul","BET",": Season 1",,83,,"Drama","Music","February 5, 2019",13
"The Umbrella Academy","Netflix",": Season 1",60,80,7.1,"Drama","Action & Adventure","February 15, 2019",289
"Doom Patrol","DC Universe",": Season 1",,80,7.7,"Drama","Action & Adventure","February 15, 2019",108
"Proven Innocent","FOX",": Season 1",47,,,"Drama",,"February 15, 2019",22
"Flack","POP",": Season 1",57,70,,"Comedy","Drama","February 21, 2019",12
"The Enemy Within","NBC",": Season 1",55,85,6.3,"Drama","Action & Adventure","February 25, 2019",37
"O.G.","HBO",": Season 1",,90,6.6,"Drama","Movie/Mini-Series","February 23, 2019",16
"Whiskey Cavalier","ABC",": Season 1",,75,6.2,"Comedy","Drama","February 27, 2019",58
"The Widow","Prime Video",": Season 1",,75,,"Drama","Suspense","March 1, 2019",26
"A Very English Scandal","Prime Video",": Season 1",,91,,"Drama","Movie/Mini-Series","March 10, 2019",76
"American Gods","Starz",": Season 2",44,67,,"Drama","Fantasy","March 10, 2019",65
"Manhunt (2019)","Acorn TV",": Season 1",,70,,"Drama","Suspense","March 11, 2019",7
"The Good Fight","CBS,CBS All Access",": Season 3",,91,6.2,"Drama",,,47
"Billions","SHOWTIME",": Season 4",,88,7.4,"Drama",,"March 17, 2019",25
"The Fix","ABC",": Season 1",51,72,,"Drama","Suspense","March 18, 2019",24
"The Village (2019)","NBC",": Season 1",47,75,,"Drama",,"March 19, 2019",18
"The OA","Netflix",": Season 2",,80,9.2,"Drama","Suspense","March 22, 2019",238
"The Act","HULU",": Season 1",,83,6.9,"Drama",,"March 20, 2019",43
"BoJack Horseman","Netflix",": Season 3",,90,8.8,"Comedy","Animation","March 29, 2019",378
"Hanna (2019)","Prime Video",": Season 1",55,85,6.8,"Drama","Suspense","March 29, 2019",48
"Line of Duty","BBC,BBC Two,Acorn TV",": Season 5",,91,6.3,"Drama","Suspense",,11
"The Twilight Zone (2019)","CBS All Access",": Season 1",,83,,"Drama",,"April 1, 2019",137
"Warrior (2019)","Cinemax",": Season 1",,80,7.3,"Drama","Action & Adventure","April 5, 2019",35
"In The Dark","The CW",": Season 1",54,83,,"Drama",,"April 4, 2019",17
"Killing Eve","BBC America",": Season 2",,90,8.1,"Drama","Action & Adventure","April 7, 2019",126
"Fosse/Verdon","FX",": Season 1",,90,7.2,"Drama","Movie/Mini-Series","April 9, 2019",55
