Main Name,Bezoekadres,Postadres,Telefoon,Fax,Internet,E-mail
https://almanak.overheid.nl/68820/Financien,Korte Voorhout 72511 CW 's-Gravenhage,Postbus 202012500 EE 's-Gravenhage,1400(algemeen),070 342 7900,https://www.rijksoverheid.nl/ministeries/ministerie-van-financien,
https://almanak.overheid.nl/10621/Economische_Zaken_en_Klimaat,Bezuidenhoutseweg 732594 AC Den Haag,Postbus 204012500 EK Den Haag,0703798911(algemeen),,https://www.rijksoverheid.nl/ministeries/ministerie-van-economische-zaken-en-klimaat,
https://almanak.overheid.nl/4958/Defensie,Plein 42511 CR Den Haag,Postbus 207012500 ES Den Haag,0703188188(algemeen),070 318 78 88,https://www.defensie.nl,
https://almanak.overheid.nl/2515/Buitenlandse_Zaken,Rijnstraat 82515 XP Den Haag,Postbus 200612500 EB Den Haag,0703486486(algemeen),070 348 48 48,https://www.rijksoverheid.nl/ministeries/ministerie-van-buitenlandse-zaken,
https://almanak.overheid.nl/123/Algemene_Zaken,Binnenhof 192513 AA Den Haag,Postbus 200012500 EA Den Haag,(070)3564100(algemeen),,https://www.rijksoverheid.nl/ministeries/ministerie-van-algemene-zaken,
https://almanak.overheid.nl/9632/Binnenlandse_Zaken_en_Koninkrijksrelaties,Turfmarkt  1472511 DP Den Haag,Postbus 200112500 EA Den Haag,0704266426(algemeen),070 363 91 53,https://www.rijksoverheid.nl/ministeries/ministerie-van-binnenlandse-zaken-en-koninkrijksrelaties,
https://almanak.overheid.nl/18166/Provincie_Zeeland,Abdij 64331 BK Middelburg,Postbus 60014330 LA Middelburg,(0118)631011(algemeen),(0118) 62 69 49,https://www.zeeland.nl,provincie@zeeland.nl
https://almanak.overheid.nl/17166/Provincie_Utrecht,Archimedeslaan 63584 BA Utrecht,Postbus 803003508 TH Utrecht,(030)2589111(algemeen),(030) 258 38 48,https://www.provincie-utrecht.nl,info@provincie-utrecht.nl
https://almanak.overheid.nl/16771/Provincie_Overijssel,Luttenbergstraat 28012 EE Zwolle,Postbus 100788000 GB Zwolle,0384998899(algemeen),038 425 48 88,http://www.overijssel.nl,postbus@overijssel.nl
https://almanak.overheid.nl/16412/Provincie_Noord-Holland,Houtplein 332012 DE Haarlem,Postbus 30072001 DA Haarlem,0235143143(algemeen),,http://www.noord-holland.nl,post@noord-holland.nl
https://almanak.overheid.nl/16317/Provincie_Noord-Brabant,Brabantlaan 15216 TV 's-Hertogenbosch,Postbus 901515200 MC 's-Hertogenbosch,(073)6812812(algemeen),(073) 614 11 15,http://www.brabant.nl,info@brabant.nl
https://almanak.overheid.nl/16071/Provincie_Limburg,Limburglaan 106229 GA Maastricht,Postbus 57006202 MA Maastricht,(043)3899999(algemeen),(043) 361 80 99,https://www.limburg.nl/,postbus@prvlimburg.nl
https://almanak.overheid.nl/15632/Provincie_Groningen,Martinikerkhof 129712 JG Groningen,Postbus 6109700 AP Groningen,(050)3164911(algemeen),(050) 316 49  33,http://www.provinciegroningen.nl,info@provinciegroningen.nl
https://almanak.overheid.nl/15185/Provincie_Gelderland,Markt 116811 CG Arnhem,Postbus  90906800 GX Arnhem,0263599999(algemeen),,http://www.gelderland.nl,provincieloket@gelderland.nl
https://almanak.overheid.nl/15184/Provincie_Fryslan,Tweebaksmarkt 528911 KZ Leeuwarden,Postbus 201208900 HM Leeuwarden,(058)2925925(algemeen),(058) 292 51 25,https://www.fryslan.frl,provincie@fryslan.frl
https://almanak.overheid.nl/14866/Provincie_Flevoland,Visarenddreef 18232 PH Lelystad,Postbus 558200 AB Lelystad,(0320)265265(algemeen),(0320) 26 52 60,http://www.flevoland.nl,provincie@flevoland.nl
https://almanak.overheid.nl/14557/Provincie_Drenthe,Westerbrink 19405 BJ Assen,Postbus 1229400 AC Assen,(0592)365555(algemeen),(0592) 36 57 77,http://www.provincie.drenthe.nl,post@drenthe.nl
https://almanak.overheid.nl/27465391/Politie,,,112(Bijspoed),,https://www.politie.nl,
https://almanak.overheid.nl/27030703/Sint_Eustasius,"Fort Oranjestraat z/nOranjestad, Sint Eustatius",,+5993183370(algemeen),,http://www.rijksdienstcn.com/,info@rijksdienstencn.com
https://almanak.overheid.nl/27030696/Saba,"The Bottom, Saba",,+5994163934(algemeen),,http://www.rijksdienstcn.com/saba/saba?swords=saba,info@RijksdienstCN.com
https://almanak.overheid.nl/27030689/Bonaire,"Kaya International z/nKralendijk, Bonaire","Postbus 357Kralendijk, Bonaire",+5997178333(algemeen),,http://www.rijksdienstcn.com/bonaire/bonaire?swords=bonaire,info@RijksdienstCN.com
