Generic Name,Index Term,Dosage Form,Index Terms,Url,What is,Brand Name:
docosanol topical (doe KOE sah knoll),,,Drugs.com ,https://www.drugs.com/monograph/abreva.html,"Docosanol
 is an antiviral medication used to treat cold sore infections caused by the herpes simplex virus. Docosanol shortens the healing time and the length of time symptoms are present.


Abreva is used to treat 
cold sores
 on the face and lips.


Docosanol may also be used for purposes other than those listed in this medication guide.",
docosanol topical (doe KOE sah knoll),,,Drugs.com ,https://www.drugs.com/monograph/abreva.html,"Docosanol
 is an antiviral medication used to treat cold sore infections caused by the herpes simplex virus. Docosanol shortens the healing time and the length of time symptoms are present.


Abreva is used to treat 
cold sores
 on the face and lips.


Docosanol may also be used for purposes other than those listed in this medication guide.",
abobotulinumtoxinA (Dysport) (A boe BOT ue LYE num TOX in A),Botulinum Toxin Type A,"Excipient information presented when available (limited, particularly for generics); consult specific product labeling.
Solution Reconstituted, Intramuscular: 
Dysport: 300 units (1 ea); 500 units (1 ea) [contains albumin human, lactose monohydrate, milk protein]",Drugs.com ,https://www.drugs.com/ppa/abobotulinumtoxina.html,"AbobotulinumtoxinA (
Dysport
), also called botulinum toxin type A, is made from the bacteria that causes botulism. Botulinum toxin blocks nerve activity in the muscles, causing a temporary reduction in muscle activity.


Dysport is used to treat 
cervical dystonia
 (severe spasms in the neck muscles). Dysport is also used to treat muscle spasms (stiffness) in the upper limbs (elbows, wrists, fingers) or lower limbs (ankles, toes).


Dysport is also used to temporarily lessen the appearance of 
facial wrinkles
.


Dysport may also be used for purposes not listed in this medication guide.",
abobotulinumtoxinA (Dysport) (A boe BOT ue LYE num TOX in A),Botulinum Toxin Type A,"Excipient information presented when available (limited, particularly for generics); consult specific product labeling.
Solution Reconstituted, Intramuscular: 
Dysport: 300 units (1 ea); 500 units (1 ea) [contains albumin human, lactose monohydrate, milk protein]",Drugs.com ,https://www.drugs.com/ppa/abobotulinumtoxina.html,"AbobotulinumtoxinA (
Dysport
), also called botulinum toxin type A, is made from the bacteria that causes botulism. Botulinum toxin blocks nerve activity in the muscles, causing a temporary reduction in muscle activity.


Dysport is used to treat 
cervical dystonia
 (severe spasms in the neck muscles). Dysport is also used to treat muscle spasms (stiffness) in the upper limbs (elbows, wrists, fingers) or lower limbs (ankles, toes).


Dysport is also used to temporarily lessen the appearance of 
facial wrinkles
.


Dysport may also be used for purposes not listed in this medication guide.",
Dehydrated Alcohol,,,Drugs.com ,https://www.drugs.com/pro/ablysinol.html,,
abiraterone (A bir A te rone),"Abiraterone
Abiraterone Acetate Fine Particle (Yonsa)
Abiraterone Acetate Micronized (Yonsa)
Abiraterone Acetate Originator (Zytiga)
CB7630","Excipient information presented when available (limited, particularly for generics); consult specific product labeling.
Tablet, Oral: 
Yonsa: 125 mg
Zytiga: 250 mg, 500 mg
Generic: 250 mg",Drugs.com ,https://www.drugs.com/ppa/abiraterone-acetate.html,"Abiraterone works by reducing androgen production in the body. Androgens are male 
hormones
 that can promote tumor growth in the prostate gland.


Abiraterone is used together with steroid medication (
prednisone
 or 
methylprednisolone
) to treat 
prostate cancer
 that has spread to other parts of the body.  abiraterone is used in men whose prostate cancer cannot be treated with surgery or other medicines.


Abiraterone may also be used for purposes not listed in this medication guide.",
abiraterone (A bir A te rone),"Abiraterone
Abiraterone Acetate Fine Particle (Yonsa)
Abiraterone Acetate Micronized (Yonsa)
Abiraterone Acetate Originator (Zytiga)
CB7630","Excipient information presented when available (limited, particularly for generics); consult specific product labeling.
Tablet, Oral: 
Yonsa: 125 mg
Zytiga: 250 mg, 500 mg
Generic: 250 mg",Drugs.com ,https://www.drugs.com/ppa/abiraterone-acetate.html,"Abiraterone works by reducing androgen production in the body. Androgens are male 
hormones
 that can promote tumor growth in the prostate gland.


Abiraterone is used together with steroid medication (
prednisone
 or 
methylprednisolone
) to treat 
prostate cancer
 that has spread to other parts of the body.  abiraterone is used in men whose prostate cancer cannot be treated with surgery or other medicines.


Abiraterone may also be used for purposes not listed in this medication guide.",
abiraterone (A bir A te rone),"Abiraterone
Abiraterone Acetate Fine Particle (Yonsa)
Abiraterone Acetate Micronized (Yonsa)
Abiraterone Acetate Originator (Zytiga)
CB7630","Excipient information presented when available (limited, particularly for generics); consult specific product labeling.
Tablet, Oral: 
Yonsa: 125 mg
Zytiga: 250 mg, 500 mg
Generic: 250 mg",Drugs.com ,https://www.drugs.com/ppa/abiraterone-acetate.html,"Abiraterone works by reducing androgen production in the body. Androgens are male 
hormones
 that can promote tumor growth in the prostate gland.


Abiraterone is used together with steroid medication (
prednisone
 or 
methylprednisolone
) to treat 
prostate cancer
 that has spread to other parts of the body.  abiraterone is used in men whose prostate cancer cannot be treated with surgery or other medicines.


Abiraterone may also be used for purposes not listed in this medication guide.",
abiraterone (A bir A te rone),"Abiraterone
Abiraterone Acetate Fine Particle (Yonsa)
Abiraterone Acetate Micronized (Yonsa)
Abiraterone Acetate Originator (Zytiga)
CB7630","Excipient information presented when available (limited, particularly for generics); consult specific product labeling.
Tablet, Oral: 
Yonsa: 125 mg
Zytiga: 250 mg, 500 mg
Generic: 250 mg",Drugs.com ,https://www.drugs.com/ppa/abiraterone-acetate.html,"Abiraterone works by reducing androgen production in the body. Androgens are male 
hormones
 that can promote tumor growth in the prostate gland.


Abiraterone is used together with steroid medication (
prednisone
 or 
methylprednisolone
) to treat 
prostate cancer
 that has spread to other parts of the body.  abiraterone is used in men whose prostate cancer cannot be treated with surgery or other medicines.


Abiraterone may also be used for purposes not listed in this medication guide.",
Aripiprazole Tablets with Sensor (ay ri PIP ray zole),,,Drugs.com ,https://www.drugs.com/pro/abilify-mycite.html,,
aripiprazole (injection) (AR i PIP ra zole),,,Drugs.com ,https://www.drugs.com/pro/abilify-maintena.html,"Abilify
 Maintena is an antipsychotic medication that works by changing the actions of chemicals in the brain.


The Abilify Maintena brand of 
aripiprazole
 is used to treat 
schizophrenia
 and 
bipolar I disorder
 (manic 
depression
) in adults. The 
Aristada
 brand of  Abilify Maintena is for use only in treating schizophrenia in adults.


Abilify Maintena may also be used for purposes not listed in this medication guide.",
aripiprazole (injection) (AR i PIP ra zole),,,Drugs.com ,https://www.drugs.com/pro/abilify-maintena.html,"Abilify
 Maintena is an antipsychotic medication that works by changing the actions of chemicals in the brain.


The Abilify Maintena brand of 
aripiprazole
 is used to treat 
schizophrenia
 and 
bipolar I disorder
 (manic 
depression
) in adults. The 
Aristada
 brand of  Abilify Maintena is for use only in treating schizophrenia in adults.


Abilify Maintena may also be used for purposes not listed in this medication guide.",
aripiprazole (AR i PIP ra zole),,,Drugs.com ,https://www.drugs.com/pro/abilify.html,"Abilify (aripiprazole is an antipsychotic medication. It works by changing the actions of chemicals in the brain.


Abilify is used to treat the symptoms of psychotic conditions such as 
schizophrenia
 and 
bipolar I disorder
 (manic depression). It is not known if aripiprazole is safe or effective in children younger than 13 with schizophrenia, or children younger than 10 with bipolar disorder.


Abilify is also used together with other medicines to treat major depressive disorder in adults.


Abilify is also used in children 6 years or older who have Tourette's disorder, or symptoms of autistic disorder (irritability, aggression, mood swings, temper tantrums, and self-injury).","Abilify, Abilify Discmelt"
aripiprazole (AR i PIP ra zole),,,Drugs.com ,https://www.drugs.com/pro/abilify.html,"Abilify (aripiprazole is an antipsychotic medication. It works by changing the actions of chemicals in the brain.


Abilify is used to treat the symptoms of psychotic conditions such as 
schizophrenia
 and 
bipolar I disorder
 (manic depression). It is not known if aripiprazole is safe or effective in children younger than 13 with schizophrenia, or children younger than 10 with bipolar disorder.


Abilify is also used together with other medicines to treat major depressive disorder in adults.


Abilify is also used in children 6 years or older who have Tourette's disorder, or symptoms of autistic disorder (irritability, aggression, mood swings, temper tantrums, and self-injury).","Abilify, Abilify Discmelt"
aripiprazole (AR i PIP ra zole),,,Drugs.com ,https://www.drugs.com/pro/abilify.html,"Abilify (aripiprazole is an antipsychotic medication. It works by changing the actions of chemicals in the brain.


Abilify is used to treat the symptoms of psychotic conditions such as 
schizophrenia
 and 
bipolar I disorder
 (manic depression). It is not known if aripiprazole is safe or effective in children younger than 13 with schizophrenia, or children younger than 10 with bipolar disorder.


Abilify is also used together with other medicines to treat major depressive disorder in adults.


Abilify is also used in children 6 years or older who have Tourette's disorder, or symptoms of autistic disorder (irritability, aggression, mood swings, temper tantrums, and self-injury).","Abilify, Abilify Discmelt"
aripiprazole (AR i PIP ra zole),,,Drugs.com ,https://www.drugs.com/pro/abilify.html,"Abilify (aripiprazole is an antipsychotic medication. It works by changing the actions of chemicals in the brain.


Abilify is used to treat the symptoms of psychotic conditions such as 
schizophrenia
 and 
bipolar I disorder
 (manic depression). It is not known if aripiprazole is safe or effective in children younger than 13 with schizophrenia, or children younger than 10 with bipolar disorder.


Abilify is also used together with other medicines to treat major depressive disorder in adults.


Abilify is also used in children 6 years or older who have Tourette's disorder, or symptoms of autistic disorder (irritability, aggression, mood swings, temper tantrums, and self-injury).","Abilify, Abilify Discmelt"
aripiprazole (AR i PIP ra zole),,,Drugs.com ,https://www.drugs.com/pro/abilify.html,"Abilify (aripiprazole is an antipsychotic medication. It works by changing the actions of chemicals in the brain.


Abilify is used to treat the symptoms of psychotic conditions such as 
schizophrenia
 and 
bipolar I disorder
 (manic depression). It is not known if aripiprazole is safe or effective in children younger than 13 with schizophrenia, or children younger than 10 with bipolar disorder.


Abilify is also used together with other medicines to treat major depressive disorder in adults.


Abilify is also used in children 6 years or older who have Tourette's disorder, or symptoms of autistic disorder (irritability, aggression, mood swings, temper tantrums, and self-injury).","Abilify, Abilify Discmelt"
abatacept (a BAY ta sept),"BMS-188667
CTLA-4Ig","Excipient information presented when available (limited, particularly for generics); consult specific product labeling.
Solution Auto-injector, Subcutaneous [preservative free]: 
Orencia ClickJect: 125 mg/mL (1 mL)
Solution Prefilled Syringe, Subcutaneous [preservative free]: 
Orencia: 50 mg/0.4 mL (0.4 mL); 87.5 mg/0.7 mL (0.7 mL); 125 mg/mL (1 mL)
Solution Reconstituted, Intravenous [preservative free]: 
Orencia: 250 mg (1 ea)",Drugs.com ,https://www.drugs.com/ppa/abatacept.html,"Abatacept a protein that prevents your body's immune system from attacking healthy tissues such as joints. The immune system helps your body fight infections. In people with 
autoimmune disorders
, the immune system mistakes the body's own cells for invaders and attacks them.


Abatacept is used to treat the symptoms of 
rheumatoid arthritis
, and to prevent joint damage caused by these conditions.  abatacept is for adults and children who are at least 2 years old.


Abatacept is also used to treat active 
psoriatic arthritis
 in adults.


Abatacept is not a cure for any autoimmune disorder and will only treat the symptoms of your condition.


Abatacept may also be used for purposes not listed in this medication guide.",
abatacept (a BAY ta sept),"BMS-188667
CTLA-4Ig","Excipient information presented when available (limited, particularly for generics); consult specific product labeling.
Solution Auto-injector, Subcutaneous [preservative free]: 
Orencia ClickJect: 125 mg/mL (1 mL)
Solution Prefilled Syringe, Subcutaneous [preservative free]: 
Orencia: 50 mg/0.4 mL (0.4 mL); 87.5 mg/0.7 mL (0.7 mL); 125 mg/mL (1 mL)
Solution Reconstituted, Intravenous [preservative free]: 
Orencia: 250 mg (1 ea)",Drugs.com ,https://www.drugs.com/ppa/abatacept.html,"Abatacept a protein that prevents your body's immune system from attacking healthy tissues such as joints. The immune system helps your body fight infections. In people with 
autoimmune disorders
, the immune system mistakes the body's own cells for invaders and attacks them.


Abatacept is used to treat the symptoms of 
rheumatoid arthritis
, and to prevent joint damage caused by these conditions.  abatacept is for adults and children who are at least 2 years old.


Abatacept is also used to treat active 
psoriatic arthritis
 in adults.


Abatacept is not a cure for any autoimmune disorder and will only treat the symptoms of your condition.


Abatacept may also be used for purposes not listed in this medication guide.",
abaloparatide (a BAL oh PAR a tide),,"Excipient information presented when available (limited, particularly for generics); consult specific product labeling.
Solution Pen-injector, Subcutaneous: 
Tymlos: 3120 mcg/1.56 mL (1.56 mL) [contains phenol]",Drugs.com ,https://www.drugs.com/ppa/abaloparatide.html,"Abaloparatide is a man-made form of parathyroid hormone that exists naturally in the body. Abaloparatide increases bone mineral density and bone strength, which may prevent fractures.


Abaloparatide is used to treat 
osteoporosis
 in postmenopausal women who have a high risk of 
bone fracture
.


Abaloparatide may also be used for purposes not listed in this medication guide.",
abatacept (a BAY ta sept),"BMS-188667
CTLA-4Ig","Excipient information presented when available (limited, particularly for generics); consult specific product labeling.
Solution Auto-injector, Subcutaneous [preservative free]: 
Orencia ClickJect: 125 mg/mL (1 mL)
Solution Prefilled Syringe, Subcutaneous [preservative free]: 
Orencia: 50 mg/0.4 mL (0.4 mL); 87.5 mg/0.7 mL (0.7 mL); 125 mg/mL (1 mL)
Solution Reconstituted, Intravenous [preservative free]: 
Orencia: 250 mg (1 ea)",Drugs.com ,https://www.drugs.com/ppa/abatacept.html,"Abatacept a protein that prevents your body's immune system from attacking healthy tissues such as joints. The immune system helps your body fight infections. In people with 
autoimmune disorders
, the immune system mistakes the body's own cells for invaders and attacks them.


Abatacept is used to treat the symptoms of 
rheumatoid arthritis
, and to prevent joint damage caused by these conditions.  abatacept is for adults and children who are at least 2 years old.


Abatacept is also used to treat active 
psoriatic arthritis
 in adults.


Abatacept is not a cure for any autoimmune disorder and will only treat the symptoms of your condition.


Abatacept may also be used for purposes not listed in this medication guide.",
abatacept (a BAY ta sept),"BMS-188667
CTLA-4Ig","Excipient information presented when available (limited, particularly for generics); consult specific product labeling.
Solution Auto-injector, Subcutaneous [preservative free]: 
Orencia ClickJect: 125 mg/mL (1 mL)
Solution Prefilled Syringe, Subcutaneous [preservative free]: 
Orencia: 50 mg/0.4 mL (0.4 mL); 87.5 mg/0.7 mL (0.7 mL); 125 mg/mL (1 mL)
Solution Reconstituted, Intravenous [preservative free]: 
Orencia: 250 mg (1 ea)",Drugs.com ,https://www.drugs.com/ppa/abatacept.html,"Abatacept a protein that prevents your body's immune system from attacking healthy tissues such as joints. The immune system helps your body fight infections. In people with 
autoimmune disorders
, the immune system mistakes the body's own cells for invaders and attacks them.


Abatacept is used to treat the symptoms of 
rheumatoid arthritis
, and to prevent joint damage caused by these conditions.  abatacept is for adults and children who are at least 2 years old.


Abatacept is also used to treat active 
psoriatic arthritis
 in adults.


Abatacept is not a cure for any autoimmune disorder and will only treat the symptoms of your condition.


Abatacept may also be used for purposes not listed in this medication guide.",
abaloparatide (a BAL oh PAR a tide),,"Excipient information presented when available (limited, particularly for generics); consult specific product labeling.
Solution Pen-injector, Subcutaneous: 
Tymlos: 3120 mcg/1.56 mL (1.56 mL) [contains phenol]",Drugs.com ,https://www.drugs.com/ppa/abaloparatide.html,"Abaloparatide is a man-made form of parathyroid hormone that exists naturally in the body. Abaloparatide increases bone mineral density and bone strength, which may prevent fractures.


Abaloparatide is used to treat 
osteoporosis
 in postmenopausal women who have a high risk of 
bone fracture
.


Abaloparatide may also be used for purposes not listed in this medication guide.",
abacavir (a BAK a veer),"Abacavir Sulfate
ABC","Excipient information presented when available (limited, particularly for generics); consult specific product labeling.
Solution, Oral: 
Ziagen: 20 mg/mL (240 mL) [contains methylparaben, propylene glycol, propylparaben, saccharin sodium; strawberry-banana flavor]
Generic: 20 mg/mL (240 mL)
Tablet, Oral: 
Ziagen: 300 mg [scored]
Generic: 300 mg",Drugs.com ,https://www.drugs.com/ppa/abacavir.html,"Abacavir is an antiviral medicine that prevents human immunodeficiency virus (
HIV
) from multiplying in your body.


Abacavir is used to treat HIV, the virus that can cause acquired immunodeficiency syndrome (AIDS).  abacavir is for adults and children who are at least 3 months old. Abacavir is not a cure for HIV or AIDS.


Abacavir may also be used for purposes not listed in this medication guide.",
abacavir (a BAK a veer),"Abacavir Sulfate
ABC","Excipient information presented when available (limited, particularly for generics); consult specific product labeling.
Solution, Oral: 
Ziagen: 20 mg/mL (240 mL) [contains methylparaben, propylene glycol, propylparaben, saccharin sodium; strawberry-banana flavor]
Generic: 20 mg/mL (240 mL)
Tablet, Oral: 
Ziagen: 300 mg [scored]
Generic: 300 mg",Drugs.com ,https://www.drugs.com/ppa/abacavir.html,"Abacavir is an antiviral medicine that prevents human immunodeficiency virus (
HIV
) from multiplying in your body.


Abacavir is used to treat HIV, the virus that can cause acquired immunodeficiency syndrome (AIDS).  abacavir is for adults and children who are at least 3 months old. Abacavir is not a cure for HIV or AIDS.


Abacavir may also be used for purposes not listed in this medication guide.",
abacavir (a BAK a veer),"Abacavir Sulfate
ABC","Excipient information presented when available (limited, particularly for generics); consult specific product labeling.
Solution, Oral: 
Ziagen: 20 mg/mL (240 mL) [contains methylparaben, propylene glycol, propylparaben, saccharin sodium; strawberry-banana flavor]
Generic: 20 mg/mL (240 mL)
Tablet, Oral: 
Ziagen: 300 mg [scored]
Generic: 300 mg",Drugs.com ,https://www.drugs.com/ppa/abacavir.html,"Abacavir is an antiviral medicine that prevents human immunodeficiency virus (
HIV
) from multiplying in your body.


Abacavir is used to treat HIV, the virus that can cause acquired immunodeficiency syndrome (AIDS).  abacavir is for adults and children who are at least 3 months old. Abacavir is not a cure for HIV or AIDS.


Abacavir may also be used for purposes not listed in this medication guide.",
abacavir (a BAK a veer),"Abacavir Sulfate
ABC","Excipient information presented when available (limited, particularly for generics); consult specific product labeling.
Solution, Oral: 
Ziagen: 20 mg/mL (240 mL) [contains methylparaben, propylene glycol, propylparaben, saccharin sodium; strawberry-banana flavor]
Generic: 20 mg/mL (240 mL)
Tablet, Oral: 
Ziagen: 300 mg [scored]
Generic: 300 mg",Drugs.com ,https://www.drugs.com/ppa/abacavir.html,"Abacavir is an antiviral medicine that prevents human immunodeficiency virus (
HIV
) from multiplying in your body.


Abacavir is used to treat HIV, the virus that can cause acquired immunodeficiency syndrome (AIDS).  abacavir is for adults and children who are at least 3 months old. Abacavir is not a cure for HIV or AIDS.


Abacavir may also be used for purposes not listed in this medication guide.",
"abacavir, lamivudine, and zidovudine (a BACK a veer, la MIV yoo deen, zye DOE vyoo deen)","3TC, Abacavir, and Zidovudine
Abacavir/Lamivudine/Zidovudine
Azidothymidine, Abacavir, and Lamivudine
AZT, Abacavir, and Lamivudine
Compound S, Abacavir, and Lamivudine
Lamivudine, Abacavir, and Zidovudine
ZDV, Abacavir, and Lamivudine
Zidovudine, Abacavir, and Lamivudine","Excipient information presented when available (limited, particularly for generics); consult specific product labeling.
Tablet, Oral: 
Trizivir: Abacavir sulfate 300 mg, lamivudine 150 mg, and zidovudine 300 mg [contains fd&c blue #2 (indigotine)]
Generic: Abacavir sulfate 300 mg, lamivudine 150 mg, and zidovudine 300 mg",Drugs.com ,https://www.drugs.com/ppa/abacavir-lamivudine-and-zidovudine.html,"Abacavir
, 
lamivudine
, and 
zidovudine
 are antiviral medications that prevent human immunodeficiency virus (
HIV
) from multiplying in your body.


Abacavir, lamivudine, and zidovudine (Trizivir) is a combination medicine used to treat HIV, which can cause the acquired immunodeficiency syndrome (AIDS).  abacavir, lamivudine, and zidovudine is not a cure for HIV or AIDS.


Trizivir may also be used for purposes not listed in this medication guide.",
