"Url","Drug name:","Company name:","Active Ingredient:","Legal Status:"
"https://www.medicines.org.uk/emc/product/9246/smpc","Juluca 50 mg/25 mg film-coated tablets","ViiV Healthcare UK Ltd","rilpivirine hydrochloride,dolutegravir sodium","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/7131/smpc","Juliperla 75micrograms/20micrograms Tablets","Accord-UK Ltd","ethinylestradiol,gestodene","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/9446/smpc","Jorveza 1mg orodispersible tablets","Dr. Falk Pharma UK Ltd","budesonide","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/9016/smpc","Joy-rides Tablets","Teva UK Limited","hyoscine hydrobromide","P: Pharmacy"
"https://www.medicines.org.uk/emc/product/6846/smpc","Jinarc 60mg + Jinarc 30mg tablets","Otsuka Pharmaceuticals (UK) Ltd","tolvaptan","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/6847/smpc","Jinarc 45 mg + Jinarc 15mg tablets","Otsuka Pharmaceuticals (UK) Ltd","tolvaptan","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/6848/smpc","Jinarc 30mg tablets","Otsuka Pharmaceuticals (UK) Ltd","tolvaptan","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/6849/smpc","Jinarc 15 mg tablets","Otsuka Pharmaceuticals (UK) Ltd","tolvaptan","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/6854/smpc","Jinarc 90mg + Jinarc 30mg tablets","Otsuka Pharmaceuticals (UK) Ltd","tolvaptan","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/5748/smpc","Jext 300 micrograms Solution for Injection in pre-filled pen","ALK-Abello Ltd","adrenaline tartrate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/5747/smpc","Jext 150 micrograms Solution for Injection in pre-filled pen","ALK-Abello Ltd","adrenaline tartrate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/4301/smpc","Jentadueto 2.5 mg/850 mg Film-coated Tablets","Boehringer Ingelheim Limited","metformin hydrochloride,linagliptin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/4541/smpc","Jevtana","Sanofi Genzyme","cabazitaxel","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/9416/smpc","JETREA 0.375 mg/0.3 mL solution for injection","Oxurion NV","ocriplasmin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/5297/smpc","Jaydess 13.5 mg intrauterine delivery system","Bayer plc","levonorgestrel","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/7697/smpc","Jentadueto 2.5 mg/1,000 mg Film-coated Tablets","Boehringer Ingelheim Limited","linagliptin,metformin hydrochloride","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/5441/smpc","Jardiance 10 mg film-coated tablets","Boehringer Ingelheim Limited","empagliflozin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/469/smpc","Javlor 25 mg/ml concentrate for solution for infusion","Pierre Fabre Limited","vinflunine ditartrate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/7703/smpc","Jardiance 25 mg film-coated tablets","Boehringer Ingelheim Limited","empagliflozin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/7887/smpc","JANUVIA 100mg film-coated tablets","Merck Sharp & Dohme Limited","sitagliptin phosphate monohydrate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/7888/smpc","JANUVIA 50mg film-coated tablets","Merck Sharp & Dohme Limited","sitagliptin phosphate monohydrate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/321/smpc","JANUVIA 25mg film-coated tablets","Merck Sharp & Dohme Limited","sitagliptin phosphate monohydrate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/564/smpc","Janumet 50 mg/1000 mg film-coated tablets","Merck Sharp & Dohme Limited","metformin hydrochloride,sitagliptin phosphate monohydrate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/4298/smpc","Jakavi 5mg Tablets","Novartis Pharmaceuticals UK Ltd","ruxolitinib phosphate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/7784/smpc","Jakavi 20mg Tablets","Novartis Pharmaceuticals UK Ltd","ruxolitinib phosphate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/7785/smpc","Jakavi 15mg Tablets","Novartis Pharmaceuticals UK Ltd","ruxolitinib phosphate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/4873/smpc","J Collis Browne's Mixture","Thornton & Ross Ltd","peppermint oil,morphine hydrochloride","P: Pharmacy"
"https://www.medicines.org.uk/emc/product/7786/smpc","Jakavi 10mg Tablets","Novartis Pharmaceuticals UK Ltd","ruxolitinib phosphate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/2146/smpc","IDELVION 250 IU powder and solvent for solution for injection","CSL Behring UK Limited","albutrepenonacog alfa","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/7847/smpc","IDELVION 2000 IU powder and solvent for solution for injection","CSL Behring UK Limited","albutrepenonacog alfa","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/7848/smpc","IDELVION 1000 IU powder and solvent for solution for injection","CSL Behring UK Limited","albutrepenonacog alfa","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/777/smpc","Idarubicin 5 mg/5 ml solution for injection","Accord Healthcare Limited ","idarubicin hydrochloride","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/776/smpc","Idarubicin 20 mg/20 ml solution for injection","Accord Healthcare Limited ","idarubicin hydrochloride","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/775/smpc","Idarubicin 10 mg/10 ml solution for injection","Accord Healthcare Limited ","idarubicin hydrochloride","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/9385/smpc","Ictastan 200mg/245mg Film-coated Tablets","Accord-UK Ltd","emtricitabine,tenofovir disoproxil succinate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/7627/smpc","Iclusig 45mg film-coated tablets","Incyte Biosciences UK Ltd","ponatinib hydrochloride","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/8653/smpc","Iclusig 30mg film-coated tablets","Incyte Biosciences UK Ltd","ponatinib hydrochloride","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/3761/smpc","Ibuspray","Dermal Laboratories Limited","ibuprofen","P: Pharmacy"
"https://www.medicines.org.uk/emc/product/1212/smpc","Iclusig 15mg film-coated tablets","Incyte Biosciences UK Ltd","ponatinib hydrochloride","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/10524/smpc","Ibuprofen Twelve Plus Pain Relief 200mg/5ml oral suspension","Aspire Pharma Ltd ","ibuprofen","P: Pharmacy"
"https://www.medicines.org.uk/emc/product/10523/smpc","Ibuprofen Seven Plus Pain Relief 200mg/5ml oral suspension","Aspire Pharma Ltd ","ibuprofen","P: Pharmacy"
"https://www.medicines.org.uk/emc/product/1242/smpc","Ibuprofen Max strength 10% gel","ADVANZ Pharma","ibuprofen","POM: Prescription only medicine,P: Pharmacy"
"https://www.medicines.org.uk/emc/product/7022/pil","Ibuprofen 200mg film-coated tablets","Aurobindo Pharma - Milpharm Ltd.","ibuprofen","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/7020/smpc","Ibuprofen 400 mg Film-coated Tablets (PL 16363/0523)","Aurobindo Pharma - Milpharm Ltd.","ibuprofen","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/10952/smpc","Ibuprofen 400 mg Film-coated Tablets (PL 16363/0526)","Aurobindo Pharma - Milpharm Ltd.","ibuprofen","P: Pharmacy"
"https://www.medicines.org.uk/emc/product/7021/smpc","Ibuprofen 600mg Film-coated tablets","Aurobindo Pharma - Milpharm Ltd.","ibuprofen","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/9406/pil","Ibuprofen 200mg Coated Tablets","Wockhardt UK Ltd","ibuprofen","GSL: General Sales Licence"
"https://www.medicines.org.uk/emc/product/8089/pil","Ibuprofen 100mg/5ml Suspension Orange","THE BOOTS COMPANY PLC","ibuprofen","GSL: General Sales Licence"
"https://www.medicines.org.uk/emc/product/5102/smpc","Ibuprofen 100mg/5ml Oral Suspension","Accord-UK Ltd","ibuprofen","P: Pharmacy"
"https://www.medicines.org.uk/emc/product/4560/smpc","Ibuprofen 100 mg/5 ml Oral Suspension","Pinewood Healthcare","ibuprofen","P: Pharmacy"
"https://www.medicines.org.uk/emc/product/5163/smpc","Ibuprofen 10% w/w gel","ADVANZ Pharma","ibuprofen","POM: Prescription only medicine,P: Pharmacy"
"https://www.medicines.org.uk/emc/product/5689/smpc","Ibuleve Speed Relief Max Strength Gel","Diomed Developments Limited","ibuprofen","GSL: General Sales Licence"
"https://www.medicines.org.uk/emc/product/6196/smpc","Ibuleve Speed Relief Gel","Diomed Developments Limited","ibuprofen","GSL: General Sales Licence"
"https://www.medicines.org.uk/emc/product/302/smpc","Ibuleve Speed Relief 5% Spray","Diomed Developments Limited","ibuprofen","GSL: General Sales Licence"
"https://www.medicines.org.uk/emc/product/8532/smpc","Ibuleve Maximum Strength Gel 50g","Diomed Developments Limited","ibuprofen","P: Pharmacy"
"https://www.medicines.org.uk/emc/product/298/smpc","Ibuleve Maximum Strength Gel 30g","Diomed Developments Limited","ibuprofen","P: Pharmacy"
"https://www.medicines.org.uk/emc/product/10664/smpc","Ibuleve Gel/Ibuleve Sports Gel","Diomed Developments Limited","ibuprofen","P: Pharmacy"
"https://www.medicines.org.uk/emc/product/8531/smpc","Ibuleve Gel 50g","Diomed Developments Limited","ibuprofen","P: Pharmacy"
"https://www.medicines.org.uk/emc/product/301/smpc","Ibuleve Gel 30g","Diomed Developments Limited","ibuprofen","P: Pharmacy"
"https://www.medicines.org.uk/emc/product/8530/smpc","Ibuleve Gel 100g","Diomed Developments Limited","ibuprofen","P: Pharmacy"
"https://www.medicines.org.uk/emc/product/3759/smpc","Ibugel","Dermal Laboratories Limited","ibuprofen","P: Pharmacy"
"https://www.medicines.org.uk/emc/product/3820/smpc","Ibugel Forte 10%","Dermal Laboratories Limited","ibuprofen","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/6183/smpc","Ibuderm                                                                                                                                                                                                                                                        ","Diomed Developments Limited","ibuprofen","GSL: General Sales Licence"
"https://www.medicines.org.uk/emc/product/4449/smpc","IBRANCE 75 mg hard capsules","Pfizer Limited","palbociclib","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/7946/smpc","IBRANCE 100 mg hard capsules","Pfizer Limited","palbociclib","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/7945/smpc","IBRANCE 125 mg hard capsules","Pfizer Limited","palbociclib","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/8624/smpc","Ibandronic Acid Mylan 150 mg Film-coated Tablets","Mylan","ibandronic sodium monohydrate ","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/4642/smpc","Ibandronic Acid Actavis 50mg Film-coated Tablets","Accord-UK Ltd","ibandronic sodium monohydrate ","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/1244/smpc","Ibandronic acid Accord 6 mg concentrate for solution for infusion","Accord Healthcare Limited ","ibandronic sodium monohydrate ","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/6995/smpc","Ibandronic acid Accord 3 mg solution for injection in pre-filled syringe","Accord Healthcare Limited ","ibandronic sodium monohydrate ","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/1245/smpc","Ibandronic acid Accord 2 mg concentrate for solution for infusion","Accord Healthcare Limited ","ibandronic sodium monohydrate ","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/4324/smpc","Ibandronic acid 3mg Solution for Injection","Accord-UK Ltd","ibandronic acid, monosodium salt, monohydrate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/1984/smpc","Ibandronic acid 50 mg film-coated tablets","Consilient Health Ltd","ibandronic sodium monohydrate ","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/10607/smpc","Ibandronic acid 150mg film-coated tablets","Consilient Health Ltd","ibandronic sodium monohydrate ","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/4135/smpc","Ibandronic acid 150 mg Film-coated Tablets","Sandoz Limited","ibandronic sodium monohydrate ","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/2078/smpc","Ibandronic acid 150 mg film-coated tablets","Accord-UK Ltd","ibandronic sodium monohydrate ","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/2751/smpc","Fenactol Retard 100 mg Prolonged-release Tablets","Dexcel Pharma Ltd","diclofenac sodium","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/2750/smpc","Fenactol 75 mg SR Prolonged-release Tablets","Dexcel Pharma Ltd","diclofenac sodium","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/2734/smpc","Fenactol 50 mg Tablets","Dexcel Pharma Ltd","diclofenac sodium","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/1347/smpc","Femoston-conti 1 mg/ 5 mg Film-coated Tablets","Mylan","dydrogesterone,estradiol hemihydrate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/2825/smpc","Femoston-conti 0.5 mg/2.5 mg Film-coated Tablets","Mylan","dydrogesterone,estradiol hemihydrate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/3903/smpc","Femoston 2/10 mg Film-coated Tablets","Mylan","dydrogesterone,estradiol hemihydrate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/5523/smpc","Femoston 1/10 mg Film-coated Tablets","Mylan","dydrogesterone,estradiol hemihydrate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/3798/smpc","Femodette tablets","Bayer plc","ethinylestradiol,gestodene","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/1123/smpc","Femodene tablets","Bayer plc","gestodene,ethinylestradiol","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/17/smpc","Felotens XL 5mg Prolonged Release Tablets","Genus Pharmaceuticals","felodipine","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/1029/smpc","Femara","Novartis Pharmaceuticals UK Ltd","letrozole","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/16/smpc","Felotens XL 10mg Prolonged Release Tablets","Genus Pharmaceuticals","felodipine","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/112/smpc","Feldene Melt 20mg","Pfizer Limited","piroxicam","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/1067/smpc","Feldene Gel","Pfizer Limited","piroxicam","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/8036/pil","Felbinac 3% w/w Gel","ADVANZ Pharma","felbinac","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/2902/smpc","FELDENE 10mg CAPSULES","Pfizer Limited","piroxicam","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/9192/smpc","FEIBA 50 U powder and solvent for solution for infusion","Shire Pharmaceuticals Limited","factor VIII inhibitor bypassing fraction","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/1124/smpc","Femodene ED tablets","Bayer plc","ethinylestradiol,gestodene","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/9193/smpc","FEIBA 25 U powder and solvent for solution for infusion","Shire Pharmaceuticals Limited","factor VIII inhibitor bypassing fraction","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/6188/smpc","Felotens XL 2.5mg Prolonged Release Tablets","Genus Pharmaceuticals","felodipine","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/4578/smpc","Fedril Night Cold and Flu, Oral Solution","Pinewood Healthcare","paracetamol,promethazine hydrochloride,dextromethorphan hydrobromide","P: Pharmacy"
"https://www.medicines.org.uk/emc/product/10181/smpc","Febuxostat Dr. Reddy's 80 mg Film-Coated Tablets","Dr. Reddy's Laboratories (UK) Ltd","febuxostat hemihydrate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/2901/smpc","FELDENE 20mg CAPSULES","Pfizer Limited","piroxicam","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/10182/smpc","Febuxostat Dr. Reddy's 120 mg Film-Coated Tablets","Dr. Reddy's Laboratories (UK) Ltd","febuxostat hemihydrate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/10184/smpc","Febuxostat Accord 80mg Film-Coated Tablets","Accord-UK Ltd","febuxostat magnesium","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/10190/smpc","Febuxostat Accord 120mg Film-Coated Tablets","Accord-UK Ltd","febuxostat magnesium","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/10521/smpc","Febuxostat 80 mg film-coated tablets","Rivopharm UK Ltd","febuxostat","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/10522/smpc","Febuxostat 120 mg film-coated tablets","Rivopharm UK Ltd","febuxostat","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/7155/smpc","Feanolla 75 microgram film coated tablet","Lupin Healthcare (UK) Ltd","desogestrel","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/1169/smpc","Faverin 50 mg Film-coated Tablets","Mylan","fluvoxamine maleate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/6603/smpc","Faverin 100 mg Film-coated Tablets","Mylan","fluvoxamine maleate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/1316/smpc","Fasturtec 1.5 mg/ml powder and solvent for concentrate for solution for infusion","SANOFI","rasburicase","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/1066/smpc","Fasigyn 500mg film-coated tablets","Pfizer Limited","tinidazole","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/68/smpc","Faslodex 250 mg solution for injection","AstraZeneca UK Limited","fulvestrant","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/10559/smpc","Fasenra 30 mg solution for injection in pre-filled pen","AstraZeneca UK Limited","benralizumab","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/8918/smpc","Fasenra 30 mg solution for injection in pre-filled syringe","AstraZeneca UK Limited","benralizumab","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/1705/smpc","Fareston 60mg Tablets","Orion Pharma (UK) Limited","toremifene citrate","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/7624/smpc","Fanhdi 50 IU/ml powder and solvent for solution for injection","Grifols UK Ltd","factor VIII","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/4948/smpc","Faramsil 400 microgram Prolonged-release Tablets","Sandoz Limited","tamsulosin hydrochloride","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/7622/smpc","Fanhdi 100 IU/ml powder and solvent for solution for injection","Grifols UK Ltd","factor VIII","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/1432/smpc","FAMVIR 500 mg Tablets","Novartis Pharmaceuticals UK Ltd","famciclovir","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/1431/smpc","FAMVIR 125 mg Tablets","Novartis Pharmaceuticals UK Ltd","famciclovir","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/1516/smpc","FAMVIR 250 mg Tablets","Novartis Pharmaceuticals UK Ltd","famciclovir","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/4763/smpc","Fampyra 10 mg prolonged-release tablets","Biogen Idec Ltd","fampridine","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/9447/smpc","Famciclovir 500 mg film-coated tablets","Mylan","famciclovir","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/9448/smpc","Famciclovir 250 mg film-coated tablets","Mylan","famciclovir","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/8815/smpc","Famciclovir 125 mg film-coated tablets","Mylan","famciclovir","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/4844/smpc","Galcodine Linctus","Thornton & Ross Ltd","codeine phosphate","P: Pharmacy"
"https://www.medicines.org.uk/emc/product/2419/smpc","Fabrazyme 5 mg powder for concentrate for solution for infusion","Sanofi Genzyme","agalsidase beta","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/8045/smpc","Fabrazyme 35 mg powder for concentrate for solution for infusion","Sanofi Genzyme","agalsidase beta","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/10499/smpc","Galantamine 4mg/ml Oral Solution","Thame Laboratories","galantamine hydrobromide","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/6134/smpc","Galantamine 4 mg/ ml Oral Solution","Sandoz Limited","galantamine hydrobromide","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/2876/smpc","Gadovist 1.0mmol/ml solution for injection","Bayer plc","gadobutrol","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/2875/smpc","Gadovist 1.0 mmol/ml solution for injection in prefilled syringe/cartridge","Bayer plc","gadobutrol","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/10934/smpc","Galafold 123 mg hard capsules","Amicus Therapeutics UK Ltd","migalastat hydrochloride","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/5421/smpc","Gabitril 5 mg Film-coated Tablets","Cephalon (UK) Limited","tiagabine hydrochloride monohydrate ","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/5419/smpc","Gabitril 15 mg Film-coated Tablets","Cephalon (UK) Limited","tiagabine hydrochloride monohydrate ","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/5420/smpc","Gabitril 10 mg Film-coated Tablets","Cephalon (UK) Limited","tiagabine hydrochloride monohydrate ","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/5002/smpc","Gabapentin Zentiva 300 mg Capsules","Zentiva","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/5001/smpc","Gabapentin Zentiva 400 mg Capsules","Zentiva","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/5003/smpc","Gabapentin Zentiva 100 mg Capsules","Zentiva","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/2393/smpc","Gabapentin Wockhardt 400mg Hard Capsules","Wockhardt UK Ltd","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/2391/smpc","Gabapentin Wockhardt 300mg Hard Capsules","Wockhardt UK Ltd","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/2401/smpc","Gabapentin Wockhardt 100mg Hard Capsules","Wockhardt UK Ltd","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/9478/smpc","Gabapentin Thame 50mg/ml Oral Solution","Thame Laboratories","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/2868/smpc","Gabapentin Rosemont 50mg/ml Oral Solution","Rosemont Pharmaceuticals Limited","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/8542/smpc","Gabapentin Mylan 800 mg Tablets","Mylan","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/8541/smpc","Gabapentin Mylan 600 mg Tablets","Mylan","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/8468/smpc","Gabapentin Mylan 400 mg Capsules, Hard","Mylan","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/8469/smpc","Gabapentin Mylan 300 mg Capsules, Hard","Mylan","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/8470/smpc","Gabapentin Mylan 100 mg Capsules, Hard","Mylan","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/10914/smpc","Gabapentin M&A Pharmachem 300mg Capsules","M & A Pharmachem Ltd","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/9544/smpc","Gabapentin Glenmark 300 mg capsules","Glenmark Pharmaceuticals Europe Ltd","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/9545/smpc","Gabapentin Glenmark 400 mg capsules","Glenmark Pharmaceuticals Europe Ltd","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/9543/smpc","Gabapentin Glenmark 100 mg capsules","Glenmark Pharmaceuticals Europe Ltd","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/2642/smpc","Gabapentin Colonis 50mg/ml Oral Solution","Colonis Pharma Ltd","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/10741/smpc","Gabapentin Brown & Burk 800mg Film-coated tablets","Brown & Burk UK Ltd","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/10750/smpc","Gabapentin Brown & Burk 600mg Film-coated tablets","Brown & Burk UK Ltd","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/10737/smpc","Gabapentin Brown & Burk 300 mg Capsules, hard","Brown & Burk UK Ltd","gabapentin","POM: Prescription only medicine"
"https://www.medicines.org.uk/emc/product/10736/smpc","Gabapentin Brown & Burk 100 mg Capsules, hard","Brown & Burk UK Ltd","gabapentin","POM: Prescription only medicine"
