Title,Network,Season,Meta Score,# of critics,User score,Genre,Genre 2,Permise Date
Real Time With Bill Maher,HBO,: Season 1,43,70,6.9,Comedy,Talk & Interview,"February 21, 2003"
This American Life,SHOWTIME,: Season 1,,90,7.9,News,Documentary,"March 22, 2007"
Lock N' Load,SHOWTIME,: Season 1,46,75,8.4,Reality,News,"October 21, 2009"
Last Week Tonight with John Oliver,HBO,: Season 1,,91,8.3,Comedy,Talk & Interview,"April 27, 2014"
Nixon by Nixon: In His Own Words,HBO,: Season 1,,80,,News/Documentary,News,"August 4, 2014"
Vice News Tonight,HBO,: Season 1,,80,,News,,"October 10, 2016"
The Little Drummer Girl,AMC,: Season 1,,91,7.2,Drama,Soap,"November 19, 2018"
Spinning Out,Netflix,: Season 1,,,,Drama,Sports,"January 1, 2020"
Looking for Alaska,HULU,: Season 1,,91,6.7,Drama,,"October 18, 2019"
Watchmen (2019),HBO,: Season 1,,90,6.1,Drama,Action & Adventure,"October 20, 2019"
Catherine The Great,HBO,: Season 1,60,80,,Drama,Movie/Mini-Series,"October 21, 2019"
Castle Rock (2018),HULU,: Season 2,,91,7.4,Drama,Horror,"October 23, 2019"
BoJack Horseman,Netflix,: Season 6,,91,8.7,Comedy,Animation,"October 25, 2019"
Mrs. Fletcher,HBO,: Season 1,,91,6.2,Comedy,Drama,"October 27, 2019"
His Dark Materials,HBO,: Season 1,,83,7.4,Drama,Action & Adventure,"November 4, 2019"
Dublin Murders,Starz,: Season 1,49,80,6.3,Drama,Suspense,"November 10, 2019"
The Crown,Netflix,: Season 3,,80,7.9,Drama,,"November 17, 2019"
Dolly Parton's Heartstrings,Netflix,: Season 1,59,88,,Drama,Music,"November 22, 2019"
The Marvelous Mrs. Maisel,"Amazon Prime,Prime Video,AMAZON",: Season 3,,90,6.9,Comedy,Drama,
Reprisal,HULU,: Season 1,53,80,,Drama,Suspense,"December 6, 2019"
The L Word: Generation Q,SHOWTIME,: Season 1,58,80,,Drama,,"December 8, 2019"
Soundtrack,Netflix,: Season 1,58,85,,Drama,Music,"December 18, 2019"
The Witcher,Netflix,: Season 1,53,83,7.6,Drama,Action & Adventure,"December 20, 2019"
A Christmas Carol (2019),FX,: Season 1,,,,Drama,Movie/Mini-Series,"December 19, 2019"
Random Acts Of Flyness,HBO,: Season 1,,90,,Comedy,Variety Shows,"August 3, 2018"
Dark Tourist,Netflix,: Season 1,,80,,Reality,Travel,"July 20, 2018"
13 Reasons Why,Netflix,: Season 3,,,,Drama,,"August 23, 2019"
Game of Thrones,HBO,: Season 8,,90,,Drama,Action & Adventure,"April 14, 2019"
Chambers,Netflix,: Season 1,45,85,,Drama,Fantasy,"April 26, 2019"
Dead to Me,Netflix,: Season 1,,80,7.5,Comedy,Drama,"May 3, 2019"
The Spanish Princess,Starz,: Season 1,,90,,Drama,,"May 5, 2019"
Chernobyl,HBO,: Season 1,,91,9.3,Drama,Movie/Mini-Series,"May 6, 2019"
The Society,Netflix,: Season 1,,80,6.5,Drama,Suspense,"May 10, 2019"
Catch-22 (2019),HULU,: Season 1,,95,6.5,Comedy,Drama,"May 17, 2019"
Vida,Starz,: Season 2,,91,6.4,Drama,,"May 23, 2019"
What/If,Netflix,: Season 1,58,83,,Drama,Suspense,"May 24, 2019"
Deadwood: The Movie,HBO,: Season 1,,95,8.2,Drama,Movie/Mini-Series,"May 31, 2019"
When They See Us,Netflix,: Season 1,,90,7.4,Drama,Movie/Mini-Series,"May 31, 2019"
NOS4A2,AMC,: Season 1,47,70,,Drama,Fantasy,"June 2, 2019"
The Handmaid's Tale,HULU,: Season 3,,87,6.3,Drama,Science Fiction,"June 5, 2019"
Big Little Lies,HBO,: Season 2,,95,8.2,Comedy,Drama,"June 9, 2019"
Pose,FX,: Season 2,,91,7.8,Drama,Music,"June 11, 2019"
Marvel's Jessica Jones,Netflix,: Season 3,,80,,Drama,Action & Adventure,"June 14, 2019"
Euphoria,HBO,: Season 1,,83,6.3,Drama,,"June 16, 2019"
Das Boot (2019),HULU,: Season 1,,90,6.3,Drama,Movie/Mini-Series,"June 17, 2019"
Dark,Netflix,: Season 2,,87,8.6,Drama,Suspense,"June 21, 2019"
Years and Years,HBO,: Season 1,,80,7.5,Drama,Movie/Mini-Series,"June 24, 2019"
Legion,FX,: Season 3,,90,7,Drama,Action & Adventure,"June 24, 2019"
The Rook,Starz,: Season 1,,81,,Drama,Action & Adventure,"June 30, 2019"
Stranger Things,Netflix,: Season 3,,91,7.2,Drama,Horror,"July 4, 2019"
The Loudest Voice,SHOWTIME,: Season 1,,83,6.2,Drama,Movie/Mini-Series,"June 30, 2019"
Harlots,HULU,: Season 3,,90,,Drama,,"July 10, 2019"
Another Life,Netflix,: Season 1,,,,Drama,Action & Adventure,"July 25, 2019"
Orange is the New Black,Netflix,: Season 7,,90,7.7,Comedy,Drama,"July 26, 2019"
Four Weddings and a Funeral,HULU,: Season 1,49,83,6.3,Comedy,Drama,"July 31, 2019"
Dear White People (2017),Netflix,: Season 3,,88,,Comedy,Drama,"August 2, 2019"
Our Boys,HBO,: Season 1,,90,7.3,Drama,Movie/Mini-Series,"August 12, 2019"
Lodge 49,AMC,: Season 2,,83,,Comedy,Drama,"August 12, 2019"
The Terror,AMC,: Season 2,,93,,Drama,,"August 12, 2019"
Mindhunter,Netflix,: Season 2,,91,8.3,Drama,,"August 16, 2019"
On Becoming a God in Central Florida,SHOWTIME,: Season 1,,91,7.9,Comedy,Drama,"August 25, 2019"
The Affair,SHOWTIME,: Season 5,,80,6.8,Drama,,"August 25, 2019"
The Dark Crystal: Age of Resistance,Netflix,: Season 1,,83,8.5,Drama,Action & Adventure,"August 30, 2019"
Wu-Tang: An American Saga,HULU,: Season 1,58,80,6.5,Drama,Music,"September 4, 2019"
The Spy,Netflix,: Season 1,,80,6.1,Drama,Movie/Mini-Series,"September 6, 2019"
The Deuce,HBO,: Season 3,,93,7.4,Drama,,"September 9, 2019"
The I-Land,Netflix,: Season 1,,,,Drama,Action & Adventure,"September 12, 2019"
Unbelievable,Netflix,: Season 1,,95,7.4,Drama,Movie/Mini-Series,"September 13, 2019"
Criminal,Netflix,: Season 1,,83,,Drama,Suspense,"September 20, 2019"
Transparent,"Amazon Instant Video,AMAZON",: Season 5,55,70,,Comedy,Drama,
The Politician,Netflix,: Season 1,,83,6.3,Comedy,Drama,"September 27, 2019"
Raising Dion,Netflix,: Season 1,,80,,Drama,Science Fiction,"October 4, 2019"
Armistead Maupin's Tales of the City,Netflix,: Season 1,,83,6.5,Drama,Movie/Mini-Series,"June 7, 2019"
Narcos: Mexico,Netflix,: Season 1,,80,8.1,Drama,Action & Adventure,"November 16, 2018"
The Man in the High Castle,"Amazon Prime,Prime Video,AMAZON",: Season 3,,75,7.3,Drama,,
The Walking Dead,AMC,: Season 9,,91,7.1,Drama,Action & Adventure,"October 7, 2018"
The Haunting of Hill House,Netflix,: Season 1,,83,7.9,Drama,,"October 12, 2018"
Marvel's Daredevil,Netflix,: Season 3,,84,8.8,Drama,Action & Adventure,"October 19, 2018"
Marvel's Daredevil,Netflix,: Season 1,,91,8.8,Drama,Action & Adventure,"October 19, 2018"
Wanderlust (2018),Netflix,: Season 1,,91,,Drama,,"October 19, 2018"
My Dinner with Herve,HBO,: Season 1,,83,6.3,Drama,Movie/Mini-Series,"October 20, 2018"
Chilling Adventures of Sabrina,Netflix,: Season 1,,83,6.1,Drama,Fantasy,"October 26, 2018"
House of Cards (2013),Netflix,: Season 6,,88,,Drama,,"November 2, 2018"
Outlander (2014),Starz,: Season 4,,80,7.8,Drama,Action & Adventure,"November 4, 2018"
Patriot,Amazon Prime,: Season 2,,80,6.9,Comedy,Drama,"November 9, 2018"
The Bisexual,HULU,: Season 1,,80,,Comedy,Drama,"November 16, 2018"
The Umbrella Academy,Netflix,: Season 1,60,80,7.1,Drama,Action & Adventure,"February 15, 2019"
O.G.,HBO,: Season 1,,90,6.6,Drama,Movie/Mini-Series,"February 23, 2019"
American Gods,Starz,: Season 2,44,67,,Drama,Fantasy,"March 10, 2019"
Billions,SHOWTIME,: Season 4,,88,7.4,Drama,,"March 17, 2019"
The Act,HULU,: Season 1,,83,6.9,Drama,,"March 20, 2019"
The OA,Netflix,: Season 2,,80,9.2,Drama,Suspense,"March 22, 2019"
BoJack Horseman,Netflix,: Season 3,,90,8.8,Comedy,Animation,"March 29, 2019"
Fosse/Verdon,FX,: Season 1,,90,7.2,Drama,Movie/Mini-Series,"April 9, 2019"
My Brilliant Friend,HBO,: Season 1,,91,8.5,Drama,,"November 18, 2018"
Escape At Dannemora,SHOWTIME,: Season 1,,90,7.8,Drama,Movie/Mini-Series,"November 18, 2018"
The Marvelous Mrs. Maisel,"Amazon Prime,Prime Video,AMAZON",: Season 2,,91,7.8,Comedy,Drama,
Icebox,HBO,: Season 1,,90,,Drama,Movie/Mini-Series,"December 7, 2018"
Counterpart,Starz,: Season 2,,90,7,Drama,Suspense,"December 9, 2018"
Watership Down (2018),Netflix,: Season 1,,83,,Animation,Drama,"December 23, 2018"
Black Mirror: Bandersnatch,Netflix,: Season 1,,91,6.9,Drama,Science Fiction,"December 28, 2018"
Sex Education,Netflix,: Season 1,,92,8.1,Comedy,Drama,"January 11, 2019"
True Detective,HBO,: Season 3,,80,6.8,Drama,Action & Adventure,"January 13, 2019"
Marvel's The Punisher,Netflix,: Season 2,58,83,7.3,Drama,Action & Adventure,"January 18, 2019"
Brexit,HBO,: Season 1,,83,6.8,Drama,Movie/Mini-Series,"January 19, 2019"
Black Earth Rising,Netflix,: Season 1,59,80,,Drama,Movie/Mini-Series,"January 25, 2019"
Orange is the New Black,Netflix,: Season 6,,80,7,Comedy,Drama,"July 27, 2018"
Vida,Starz,: Season 1,,88,6.3,Drama,,"May 6, 2018"
Sweetbitter,Starz,: Season 1,52,90,,Drama,,"May 6, 2018"
Hard Sun,HULU,: Season 1,46,83,,Drama,,"March 7, 2018"
Marvel's Jessica Jones,Netflix,: Season 2,,88,,Drama,Action & Adventure,"March 8, 2018"
Collateral (2018),Netflix,: Season 1,,80,7.1,Drama,Movie/Mini-Series,"March 9, 2018"
Sneaky Pete,"Amazon Instant Video,Prime Video",: Season 2,,83,7.3,Drama,,
Billions,SHOWTIME,: Season 3,,85,6.7,Drama,,"March 25, 2018"
Trust,FX,: Season 1,,80,7.1,Drama,,"March 25, 2018"
The Terror,AMC,: Season 1,,91,7.8,Drama,,"March 26, 2018"
The Americans,FX,: Season 6,,90,8.2,Drama,,"March 28, 2018"
Legion,FX,: Season 2,,91,7.4,Drama,Action & Adventure,"April 3, 2018"
Paterno,HBO,: Season 1,,91,,Drama,Sports,"April 7, 2018"
Howards End,Starz,: Season 1,,90,,Drama,Movie/Mini-Series,"April 8, 2018"
Lost in Space (2018),Netflix,: Season 1,58,83,,Drama,Action & Adventure,"April 13, 2018"
Westworld,HBO,: Season 2,,90,7,Drama,Action & Adventure,"April 22, 2018"
The Handmaid's Tale,HULU,: Season 2,,83,7.4,Drama,Science Fiction,"April 25, 2018"
Dear White People (2017),Netflix,: Season 2,,90,,Comedy,Drama,"May 4, 2018"
The Rain,Netflix,: Season 1,,80,,Drama,Horror,"May 4, 2018"
Patrick Melrose,SHOWTIME,: Season 1,,90,,Drama,Movie/Mini-Series,"May 12, 2018"
Safe (2018),Netflix,: Season 1,,75,6.5,Drama,Suspense,"May 10, 2018"
13 Reasons Why,Netflix,: Season 2,49,83,,Drama,,"May 18, 2018"
Fahrenheit 451,HBO,: Season 1,47,90,,Drama,Movie/Mini-Series,"May 19, 2018"
Pose,FX,: Season 1,,83,7.8,Drama,Music,"June 3, 2018"
Dietland,AMC,: Season 1,,88,,Comedy,Drama,"June 4, 2018"
Marvel's Luke Cage,Netflix,: Season 2,,83,6.5,Drama,Action & Adventure,"June 22, 2018"
Sharp Objects,HBO,: Season 1,,90,6.9,Drama,Movie/Mini-Series,"July 8, 2018"
Snowfall,FX,: Season 2,,80,7.7,Drama,,"July 19, 2018"
Castle Rock (2018),HULU,: Season 1,,83,6.8,Drama,Horror,"July 25, 2018"
Lodge 49,AMC,: Season 1,,80,7.4,Comedy,Drama,"August 6, 2018"
Better Call Saul,AMC,: Season 4,,90,9,Comedy,Drama,"August 6, 2018"
Insatiable,Netflix,: Season 1,,80,7,Comedy,Drama,"August 10, 2018"
The Innocents (2018),Netflix,: Season 1,,80,,Drama,Science Fiction,"August 24, 2018"
Ozark,Netflix,: Season 2,59,91,8.2,Drama,,"August 31, 2018"
Mayans M.C.,FX,: Season 1,57,83,,Drama,,"September 4, 2018"
Marvel's Iron Fist,Netflix,: Season 2,,,6.3,Drama,Action & Adventure,"September 7, 2018"
The Deuce,HBO,: Season 2,,91,7.1,Drama,,"September 9, 2018"
Kidding,SHOWTIME,: Season 1,,90,7.4,Comedy,Drama,"September 9, 2018"
BoJack Horseman,Netflix,: Season 5,,91,8.9,Comedy,Animation,"September 14, 2018"
The First,HULU,: Season 1,,91,6.5,Drama,Science Fiction,"September 14, 2018"
The Good Cop,Netflix,: Season 1,53,83,6.8,Comedy,Drama,"September 21, 2018"
Mr Inbetween,FX,: Season 1,,83,7.9,Drama,,"September 25, 2018"
The Last Post,Amazon Prime,: Season 1,59,91,,Drama,,"December 22, 2017"
The Last Tycoon,Amazon Prime,: Season 1,57,90,6.4,Drama,,"July 28, 2017"
Room 104,HBO,: Season 1,,83,,Comedy,Drama,"July 28, 2017"
Comrade Detective,Amazon Prime,: Season 1,,85,7.8,Comedy,Drama,"August 4, 2017"
Atypical,Netflix,: Season 1,,90,8.6,Comedy,Drama,"August 11, 2017"
Halt and Catch Fire,AMC,: Season 4,,90,8.2,Drama,,"August 19, 2017"
Marvel's The Defenders,Netflix,: Season 1,,83,6.9,Drama,Action & Adventure,"August 18, 2017"
Narcos,Netflix,: Season 3,,83,8.3,Drama,,"September 1, 2017"
BoJack Horseman,Netflix,: Season 4,,90,8.7,Comedy,Animation,"September 8, 2017"
Outlander (2014),Starz,: Season 3,,91,7.5,Drama,Action & Adventure,"September 10, 2017"
One Mississippi,Amazon Prime,: Season 2,,80,,Comedy,Drama,"September 8, 2017"
The Deuce,HBO,: Season 1,,90,7.8,Drama,,"September 10, 2017"
Transparent,"Amazon Instant Video,AMAZON",: Season 4,,80,6.3,Comedy,Drama,
Lore,"Amazon Prime,Prime Video",: Season 1,60,80,,Drama,Horror,
Mindhunter,Netflix,: Season 1,,90,8.4,Drama,,"October 13, 2017"
Stranger Things,Netflix,: Season 2,,80,8.2,Drama,Horror,"October 27, 2017"
Ill Behaviour,SHOWTIME,: Season 1,55,70,,Comedy,Drama,"November 13, 2017"
Marvel's The Punisher,Netflix,: Season 1,55,80,8.2,Drama,Action & Adventure,"November 17, 2017"
Future Man,HULU,: Season 1,,91,7.7,Comedy,Drama,"November 14, 2017"
Baltimore Rising,HBO,: Season 1,,91,,Drama,Movie/Mini-Series,"November 20, 2017"
Marvel's Runaways,HULU,: Season 1,,91,6.5,Drama,Action & Adventure,"November 21, 2017"
Godless,Netflix,: Season 1,,90,7,Drama,,"November 22, 2017"
Dark,Netflix,: Season 1,,80,8.2,Drama,Suspense,"December 1, 2017"
She's Gotta Have It (2017),Netflix,: Season 1,,91,,Comedy,Drama,"November 23, 2017"
The Crown,Netflix,: Season 2,,90,7.9,Drama,,"December 8, 2017"
Wormwood,Netflix,: Season 1,,80,,Drama,Suspense,"December 15, 2017"
Gunpowder,HBO,: Season 1,,83,6.3,Drama,Movie/Mini-Series,"December 18, 2017"
The Chi,SHOWTIME,: Season 1,,91,,Drama,,"January 7, 2018"
Philip K. Dick's Electric Dreams,"Amazon Prime,Prime Video",: Season 1,,80,6.2,Drama,Science Fiction,
The Assassination of Gianni Versace: American Crime Story,FX,: Season 1,,88,8.5,Drama,Movie/Mini-Series,"January 17, 2018"
Counterpart,Starz,: Season 1,,91,7.4,Drama,Suspense,"January 21, 2018"
Mosaic,HBO,: Season 1,,85,6.1,Drama,Movie/Mini-Series,"January 22, 2018"
Altered Carbon,Netflix,: Season 1,,80,8,Drama,Action & Adventure,"February 2, 2018"
Absentia,"Amazon Prime,AXN,Prime Video",: Season 1,59,75,6.4,Drama,Suspense,
Homeland,SHOWTIME,: Season 7,,91,7.3,Drama,Suspense,"February 11, 2018"
Here and Now,HBO,: Season 1,46,80,,Drama,,"February 11, 2018"
Everything Sucks!,Netflix,: Season 1,,80,7.6,Comedy,Drama,"February 16, 2018"
Seven Seconds,Netflix,: Season 1,,90,7.1,Drama,,"February 23, 2018"
McMafia,AMC,: Season 1,59,70,6.7,Drama,,"February 26, 2018"
The Looming Tower,HULU,: Season 1,,91,,Drama,Movie/Mini-Series,"February 28, 2018"
American Gods,Starz,: Season 1,,83,7.4,Drama,Fantasy,"April 30, 2017"
The Path,HULU,: Season 2,,91,7.6,Drama,,"January 25, 2017"
Z: The Beginning of Everything,Amazon Prime,: Season 1,,83,6.4,Drama,,"January 27, 2017"
Legion,FX,: Season 1,,88,8.4,Drama,Action & Adventure,"February 8, 2017"
Girls,HBO,: Season 6,,90,6.1,Comedy,Drama,"February 12, 2017"
Billions,SHOWTIME,: Season 2,,90,7.2,Drama,,"February 19, 2017"
Big Little Lies,HBO,: Season 1,,91,8.3,Comedy,Drama,"February 19, 2017"
Patriot,Amazon Prime,: Season 1,,83,7.9,Comedy,Drama,"February 24, 2017"
FEUD,FX,: Season 1,,91,8.6,Drama,,"March 5, 2017"
The Americans,FX,: Season 5,,90,8.3,Drama,,"March 7, 2017"
The Marvelous Mrs. Maisel,"Amazon Prime,Prime Video,AMAZON",: Season 1,,90,8.1,Comedy,Drama,
Marvel's Iron Fist,Netflix,: Season 1,,,,Drama,Action & Adventure,"March 17, 2017"
Harlots,HULU,: Season 1,,83,,Drama,,"March 29, 2017"
13 Reasons Why,Netflix,: Season 1,,90,7.6,Drama,,"March 31, 2017"
The Son,AMC,: Season 1,57,90,,Drama,,"April 8, 2017"
Better Call Saul,AMC,: Season 3,,91,9.1,Comedy,Drama,"April 10, 2017"
The Leftovers,HBO,: Season 3,,88,9.1,Drama,,"April 16, 2017"
Guerrilla,SHOWTIME,: Season 1,,90,6.6,Drama,Suspense,"April 16, 2017"
The White Princess,Starz,: Season 1,,83,,Drama,,"April 16, 2017"
Fargo,FX,: Season 3,,90,8.3,Comedy,Drama,"April 19, 2017"
The Immortal Life of Henrietta Lacks,HBO,: Season 1,,80,,Drama,Movie/Mini-Series,"April 22, 2017"
The Handmaid's Tale,HULU,: Season 1,,91,7.9,Drama,Science Fiction,"April 26, 2017"
Dear White People (2017),Netflix,: Season 1,,91,,Comedy,Drama,"April 28, 2017"
Sense8,Netflix,: Season 2,,90,8.4,Drama,Science Fiction,"May 5, 2017"
I Love Dick,"Amazon Prime,Prime Video",: Season 1,,88,6.4,Comedy,Drama,
The Wizard of Lies,HBO,: Season 1,,83,6.7,Drama,Movie/Mini-Series,"May 21, 2017"
Dirty Dancing (2017),,: Season 1,,75,,Drama,Movie/Mini-Series,
House of Cards (2013),Netflix,: Season 5,60,91,6.1,Drama,,"May 30, 2017"
Orange is the New Black,Netflix,: Season 5,,90,6.5,Comedy,Drama,"June 9, 2017"
Preacher,AMC,: Season 2,,83,7.5,Drama,Action & Adventure,"June 25, 2017"
Gypsy (2017),Netflix,: Season 1,45,83,8.2,Drama,,"June 30, 2017"
Snowfall,FX,: Season 1,,91,6.4,Drama,,"July 5, 2017"
Castlevania,Netflix,: Season 1,,80,7.8,Animation,Drama,"July 7, 2017"
Game of Thrones,HBO,: Season 7,,80,7.8,Drama,Action & Adventure,"July 16, 2017"
Loaded,AMC,: Season 1,,83,,Comedy,Drama,"July 17, 2017"
Ozark,Netflix,: Season 1,,83,8.3,Drama,,"July 21, 2017"
Tyrant,FX,: Season 3,58,75,,Drama,Action & Adventure,"July 6, 2016"
Marvel's Luke Cage,Netflix,: Season 1,,91,8,Drama,Action & Adventure,"September 30, 2016"
Ash Vs. Evil Dead,Starz,: Season 2,,91,8.6,Comedy,Drama,"October 2, 2016"
Westworld,HBO,: Season 1,,91,8.8,Drama,Action & Adventure,"October 2, 2016"
Divorce (2016),HBO,: Season 1,60,91,,Comedy,Drama,"October 9, 2016"
Goliath,"Amazon Prime,Prime Video,AMAZON",: Season 1,,83,7.7,Drama,,
Chance,HULU,: Season 1,,83,7.3,Drama,Suspense,"October 19, 2016"
Good Girls Revolt,"Amazon Prime,Prime Video",: Season 1,,83,6.7,Drama,,
The Crown,Netflix,: Season 1,,91,8.5,Drama,,"November 4, 2016"
The Night Of,HBO,: Season 1,,90,8.8,Drama,Movie/Mini-Series,"July 10, 2016"
Stranger Things,Netflix,: Season 1,,83,8.9,Drama,Horror,"July 15, 2016"
Looking: The Movie,,: Season 1,,80,7.3,Drama,,
The Get Down,Netflix,: Season 1,,83,7.8,Drama,Music,"August 12, 2016"
Halt and Catch Fire,AMC,: Season 3,,91,8.2,Drama,,"August 23, 2016"
The Strain,FX,: Season 3,,80,7.8,Drama,Horror,"August 28, 2016"
Narcos,Netflix,: Season 2,,91,8.5,Drama,,"September 2, 2016"
One Mississippi,Amazon Prime,: Season 1,,90,6.9,Comedy,Drama,"September 9, 2016"
Masters of Sex,SHOWTIME,: Season 4,,83,6.5,Drama,,"September 11, 2016"
Easy,Netflix,: Season 1,,90,,Drama,,"September 22, 2016"
Transparent,"Amazon Instant Video,AMAZON",: Season 3,,90,6.6,Comedy,Drama,
The Affair,SHOWTIME,: Season 3,,83,6.4,Drama,,"November 20, 2016"
Shut Eye,HULU,: Season 1,50,75,6.5,Comedy,Drama,"December 7, 2016"
The Man in the High Castle,"Amazon Prime,Prime Video,AMAZON",: Season 2,,90,7.5,Drama,,
The OA,Netflix,: Season 1,,83,7.3,Drama,Suspense,"December 16, 2016"
Sneaky Pete,"Amazon Instant Video,Prime Video",: Season 1,,90,7.5,Drama,,
Homeland,SHOWTIME,: Season 6,,83,6.8,Drama,Suspense,"January 15, 2017"
Frontier,Netflix,: Season 1,52,80,6.5,Drama,Action & Adventure,"January 20, 2017"
Confirmation,HBO,: Season 1,,83,6.4,Drama,Movie/Mini-Series,"April 16, 2016"
Better Call Saul,AMC,: Season 2,,91,8.8,Comedy,Drama,"February 15, 2016"
Transparent,"Amazon Instant Video,AMAZON",: Season 2,,90,6.6,Comedy,Drama,
Billions,SHOWTIME,: Season 1,,83,7.5,Drama,,"January 17, 2016"
Mad Dogs (2016),"Amazon Prime,Prime Video",: Season 1,,83,7.2,Comedy,Drama,
The People v. O.J. Simpson: American Crime Story,FX,: Season 1,,90,8.6,Drama,,"February 2, 2016"
Vinyl,HBO,: Season 1,,90,7,Drama,Music,"February 14, 2016"
11.22.63,HULU,: Season 1,,83,7.8,Drama,Science Fiction,"February 15, 2016"
Girls,HBO,: Season 5,,91,6.7,Comedy,Drama,"February 21, 2016"
House of Cards (2013),Netflix,: Season 4,,83,8.4,Drama,,"March 4, 2016"
Bosch,Amazon Instant Video,: Season 2,,83,8.5,Drama,,"March 11, 2016"
Lady Day at Emerson's Bar and Grill,HBO,: Season 1,,80,,Drama,Movie/Mini-Series,"March 12, 2016"
The Americans,FX,: Season 4,,90,8.9,Drama,,"March 16, 2016"
Marvel's Daredevil,Netflix,: Season 2,,83,8.8,Drama,Action & Adventure,"March 18, 2016"
The Path,HULU,: Season 1,,83,7.9,Drama,,"March 30, 2016"
Outlander (2014),Starz,: Season 2,,90,7.9,Drama,Action & Adventure,"April 9, 2016"
Fear the Walking Dead,AMC,: Season 2,54,80,,Drama,Action & Adventure,"April 10, 2016"
Game of Thrones,HBO,: Season 6,,91,8.3,Drama,Action & Adventure,"April 24, 2016"
Preacher,AMC,: Season 1,,90,7.8,Drama,Action & Adventure,"May 22, 2016"
All The Way (2016),HBO,: Season 1,,91,7.2,Drama,Movie/Mini-Series,"May 21, 2016"
Bloodline,Netflix,: Season 2,60,91,7.2,Drama,,"May 27, 2016"
The Dresser (2016),Starz,: Season 1,,80,,Drama,Movie/Mini-Series,"May 30, 2016"
Feed the Beast (2016),AMC,: Season 1,46,70,6.3,Drama,,"June 5, 2016"
Orange is the New Black,Netflix,: Season 4,,90,8.4,Comedy,Drama,"June 17, 2016"
Roadies,SHOWTIME,: Season 1,47,90,7.4,Comedy,Drama,"June 26, 2016"
The Strain,FX,: Season 2,,80,7.3,Drama,Horror,"July 12, 2015"
Nightingale,HBO,: Season 1,,90,6.1,Drama,Movie/Mini-Series,"May 29, 2015"
Halt and Catch Fire,AMC,: Season 2,,91,8.5,Drama,,"May 31, 2015"
